pressure,muc,muc_err,molkg,molkg_err,_
0.1,0.0000391071,0.0000045298,0.0000067799,0.0000007853,
0.5,0.0002210714,0.0000233249,0.0000383266,0.0000040438,
1,0.0004205357,0.0000326664,0.0000729072,0.0000056633,
5,0.0022903571,0.0000690423,0.0003970735,0.0000119697,
10,0.0046875000,0.0002332492,0.0008126602,0.0000404378,
50,0.0231223214,0.0004031128,0.0040086592,0.0000698867,
1e2,0.0469217857,0.0019957196,0.0081347129,0.0003459929,
5e2,0.2258448214,0.0061188239,0.0391541532,0.0010608052,
1e3,0.4366639286,0.0079491156,0.0757033358,0.0013781183,
5e3,1.6184078571,0.0197545845,0.2805793323,0.0034248030,
1e4,2.3682044643,0.0084340745,0.4105696994,0.0014621945,
5e4,3.5522612500,0.0120480703,0.6158466701,0.0020887439,
1e5,3.7671569643,0.0081164762,0.6531026040,0.0014071332,
5e5,3.9485694643,0.0025441262,0.6845536365,0.0004410688,
1e6,3.9718501786,0.0015141953,0.6885897558,0.0002625123,
5e6,3.9851680357,0.0027759974,0.6908986395,0.0004812677,
1e7,3.9878455357,0.0025400904,0.6913628310,0.0004403691,
5e7,4.0008866071,0.0027630771,0.6936237290,0.0004790278,
1e8,4.0245907143,0.0223123931,0.6977332509,0.0038682439,
5e8,7.5668764286,0.1612841212,1.3118504873,0.0279614257,
1e9,7.7465133929,0.0096788214,1.3429936996,0.0016779931,
5e9,8.2500000000,0.0000000000,1.4302819165,0.0000000000,
1e10,8.6086408929,0.0454128814,1.4924585933,0.0078731179,
5e10,8.6250000000,0.0000000000,1.4952947309,0.0000000000,
1e11,8.7500000000,0.0000000000,1.5169656690,0.0000000000,
