pressure,muc,muc_err,molkg,molkg_err,_
1,0.0011642857,0.0000506745,0.0002018493,0.0000087853,
5,0.0060764286,0.0002069549,0.0010534553,0.0000358793,
10,0.0125173214,0.0001983501,0.0021700968,0.0000343875,
50,0.0632330357,0.0010695729,0.0109625536,0.0001854292,
1e2,0.1268687500,0.0017928109,0.0219949187,0.0003108151,
5e2,0.5752150000,0.0028257479,0.0997235894,0.0004898929,
1e3,1.0113269643,0.0110526686,0.1753312326,0.0019161736,
5e3,2.5125083929,0.0243461549,0.4355873114,0.0042208321,
1e4,3.0840312500,0.0199668615,0.5346708032,0.0034616050,
5e4,3.7763442857,0.0053922493,0.6546953870,0.0009348408,
1e5,3.8920762500,0.0084753068,0.6747595489,0.0014693428,
5e5,4.0304751786,0.0126899534,0.6987534258,0.0022000256,
1e6,4.0791562500,0.0115086467,0.7071931417,0.0019952254,
5e6,4.1607126786,0.0178964516,0.7213323762,0.0031026632,
1e7,4.2155889286,0.0209726401,0.7308461348,0.0036359743,
5e7,5.2243075000,0.0969078087,0.9057251568,0.0168006650,
1e8,6.7551092857,0.0569458445,1.1711164431,0.0098725590,
5e8,7.3600100000,0.1080661585,1.2759865707,0.0187351603,
1e9,7.7578808929,0.1414616615,1.3449644547,0.0245248553,
