      Pressure (pa)     C7-500 (mol/kg)     3mC6-500 (mol/kg)
    0.1000000000E+01    0.1438893361E-03    0.4239503238E-04
    0.3000000000E+01    0.4314324116E-03    0.1271143938E-03
    0.5000000000E+01    0.7186617877E-03    0.2117396139E-03
    0.7000000000E+01    0.1005577979E-02    0.2962708479E-03
    0.9000000000E+01    0.1292181499E-02    0.3807082510E-03
    0.1100000000E+02    0.1578472859E-02    0.4650519778E-03
    0.1300000000E+02    0.1864452572E-02    0.5493021826E-03
    0.1500000000E+02    0.2150121147E-02    0.6334590195E-03
    0.1700000000E+02    0.2435479093E-02    0.7175226422E-03
    0.1900000000E+02    0.2720526918E-02    0.8014932039E-03
    0.2100000000E+02    0.3005265129E-02    0.8853708578E-03
    0.2300000000E+02    0.3289694231E-02    0.9691557564E-03
    0.2500000000E+02    0.3573814729E-02    0.1052848052E-02
    0.2700000000E+02    0.3857627126E-02    0.1136447897E-02
    0.2900000000E+02    0.4141131924E-02    0.1219955442E-02
    0.3100000000E+02    0.4424329626E-02    0.1303370840E-02
    0.3300000000E+02    0.4707220731E-02    0.1386694241E-02
    0.3500000000E+02    0.4989805738E-02    0.1469925796E-02
    0.3700000000E+02    0.5272085145E-02    0.1553065654E-02
    0.3900000000E+02    0.5554059449E-02    0.1636113967E-02
    0.4100000000E+02    0.5835729146E-02    0.1719070884E-02
    0.4300000000E+02    0.6117094730E-02    0.1801936554E-02
    0.4500000000E+02    0.6398156696E-02    0.1884711126E-02
    0.4700000000E+02    0.6678915536E-02    0.1967394750E-02
    0.4900000000E+02    0.6959371741E-02    0.2049987573E-02
    0.5100000000E+02    0.7239525802E-02    0.2132489743E-02
    0.5300000000E+02    0.7519378209E-02    0.2214901409E-02
    0.5500000000E+02    0.7798929449E-02    0.2297222717E-02
    0.5700000000E+02    0.8078180011E-02    0.2379453815E-02
    0.5900000000E+02    0.8357130379E-02    0.2461594850E-02
    0.6100000000E+02    0.8635781041E-02    0.2543645968E-02
    0.6300000000E+02    0.8914132479E-02    0.2625607315E-02
    0.6500000000E+02    0.9192185177E-02    0.2707479038E-02
    0.6700000000E+02    0.9469939617E-02    0.2789261281E-02
    0.6900000000E+02    0.9747396280E-02    0.2870954190E-02
    0.7100000000E+02    0.1002455565E-01    0.2952557910E-02
    0.7300000000E+02    0.1030141819E-01    0.3034072585E-02
    0.7500000000E+02    0.1057798440E-01    0.3115498360E-02
    0.7700000000E+02    0.1085425475E-01    0.3196835379E-02
    0.7900000000E+02    0.1113022970E-01    0.3278083785E-02
    0.8100000000E+02    0.1140590975E-01    0.3359243721E-02
    0.8300000000E+02    0.1168129536E-01    0.3440315332E-02
    0.8500000000E+02    0.1195638700E-01    0.3521298759E-02
    0.8700000000E+02    0.1223118515E-01    0.3602194144E-02
    0.8900000000E+02    0.1250569027E-01    0.3683001631E-02
    0.9100000000E+02    0.1277990284E-01    0.3763721361E-02
    0.9300000000E+02    0.1305382333E-01    0.3844353475E-02
    0.9500000000E+02    0.1332745220E-01    0.3924898115E-02
    0.9700000000E+02    0.1360078992E-01    0.4005355421E-02
    0.9900000000E+02    0.1387383696E-01    0.4085725534E-02
    0.1010000000E+03    0.1414659378E-01    0.4166008595E-02
    0.1030000000E+03    0.1441906084E-01    0.4246204743E-02
    0.1050000000E+03    0.1469123861E-01    0.4326314119E-02
    0.1070000000E+03    0.1496312755E-01    0.4406336861E-02
    0.1090000000E+03    0.1523472812E-01    0.4486273108E-02
    0.1110000000E+03    0.1550604078E-01    0.4566123000E-02
    0.1130000000E+03    0.1577706599E-01    0.4645886675E-02
    0.1150000000E+03    0.1604780421E-01    0.4725564272E-02
