     Pressure (Pa)     22mC5-400 (mol/kg)     33mC5-400 (mol/kg)
    0.1000000000E+01    0.8416795613E-02    0.2594967778E-03
    0.3000000000E+01    0.2462862034E-01    0.7655844962E-03
    0.5000000000E+01    0.4006178071E-01    0.1255766238E-02
    0.7000000000E+01    0.5477167356E-01    0.1731459390E-02
    0.9000000000E+01    0.6880854564E-01    0.2193933959E-02
    0.1100000000E+02    0.8221807808E-01    0.2644330116E-02
    0.1300000000E+02    0.9504189335E-01    0.3083673370E-02
    0.1500000000E+02    0.1073179961E+00    0.3512887722E-02
    0.1700000000E+02    0.1190811578E+00    0.3932807119E-02
    0.1900000000E+02    0.1303632539E+00    0.4344185431E-02
    0.2100000000E+02    0.1411935587E+00    0.4747705186E-02
    0.2300000000E+02    0.1515990059E+00    0.5143985221E-02
    0.2500000000E+02    0.1616044185E+00    0.5533587411E-02
    0.2700000000E+02    0.1712327109E+00    0.5917022592E-02
    0.2900000000E+02    0.1805050701E+00    0.6294755794E-02
    0.3100000000E+02    0.1894411151E+00    0.6667210865E-02
    0.3300000000E+02    0.1980590398E+00    0.7034774573E-02
    0.3500000000E+02    0.2063757402E+00    0.7397800249E-02
    0.3700000000E+02    0.2144069286E+00    0.7756611024E-02
    0.3900000000E+02    0.2221672354E+00    0.8111502724E-02
    0.4100000000E+02    0.2296703013E+00    0.8462746439E-02
    0.4300000000E+02    0.2369288593E+00    0.8810590838E-02
    0.4500000000E+02    0.2439548098E+00    0.9155264231E-02
    0.4700000000E+02    0.2507592871E+00    0.9496976422E-02
    0.4900000000E+02    0.2573527209E+00    0.9835920375E-02
    0.1000000000E+02    0.7558903825E-01    0.2420575221E-02
    0.3000000000E+02    0.1850139630E+00    0.6481618098E-02
    0.5000000000E+02    0.2605733766E+00    0.1000441033E-01
    0.7000000000E+02    0.3159853573E+00    0.1326512337E-01
    0.9000000000E+02    0.3584117135E+00    0.1638321294E-01
    0.1100000000E+03    0.3919642249E+00    0.1941418772E-01
    0.1300000000E+03    0.4191764303E+00    0.2238512960E-01
    0.1500000000E+03    0.4416969579E+00    0.2530968616E-01
    0.1700000000E+03    0.4606461563E+00    0.2819487258E-01
    0.1900000000E+03    0.4768127149E+00    0.3104433167E-01
    0.2100000000E+03    0.4907683289E+00    0.3385996325E-01
    0.2300000000E+03    0.5029377456E+00    0.3664276469E-01
    0.2500000000E+03    0.5136432534E+00    0.3939327404E-01
    0.2700000000E+03    0.5231338905E+00    0.4211180669E-01
    0.2900000000E+03    0.5316051791E+00    0.4479858211E-01
    0.3100000000E+03    0.5392127911E+00    0.4745379076E-01
    0.3300000000E+03    0.5460822234E+00    0.5007762835E-01
    0.3500000000E+03    0.5523157791E+00    0.5267031200E-01
    0.3700000000E+03    0.5579976941E+00    0.5523208654E-01
    0.3900000000E+03    0.5631979593E+00    0.5776322547E-01
    0.4100000000E+03    0.5679752114E+00    0.6026402929E-01
    0.4300000000E+03    0.5723789459E+00    0.6273482239E-01
    0.4500000000E+03    0.5764512322E+00    0.6517594968E-01
    0.4700000000E+03    0.5802280558E+00    0.6758777298E-01
    0.4900000000E+03    0.5837403795E+00    0.6997066778E-01
    0.1000000000E+03    0.3761122838E+00    0.1790746408E-01
    0.3000000000E+03    0.5355084864E+00    0.4613012042E-01
    0.5000000000E+03    0.5854058684E+00    0.7115138733E-01
    0.7000000000E+03    0.6097541199E+00    0.9334441612E-01
    0.9000000000E+03    0.6241617811E+00    0.1130998421E+00
    0.1100000000E+04    0.6336793095E+00    0.1307777676E+00
    0.1300000000E+04    0.6404330764E+00    0.1466815972E+00
    0.1500000000E+04    0.6454733466E+00    0.1610621300E+00
    0.1700000000E+04    0.6493783322E+00    0.1741265030E+00
    0.1900000000E+04    0.6524925215E+00    0.1860465876E+00
    0.2100000000E+04    0.6550338945E+00    0.1969658999E+00
    0.2300000000E+04    0.6571470936E+00    0.2070050871E+00
    0.2500000000E+04    0.6589318630E+00    0.2162662461E+00
    0.2700000000E+04    0.6604592103E+00    0.2248363242E+00
    0.2900000000E+04    0.6617810569E+00    0.2327898110E+00
    0.3100000000E+04    0.6629362454E+00    0.2401908824E+00
    0.3300000000E+04    0.6639544126E+00    0.2470951201E+00
    0.3500000000E+04    0.6648585636E+00    0.2535508998E+00
    0.3700000000E+04    0.6656668279E+00    0.2596005205E+00
    0.3900000000E+04    0.6663936859E+00    0.2652811275E+00
    0.4100000000E+04    0.6670508430E+00    0.2706254738E+00
    0.4300000000E+04    0.6676478633E+00    0.2756625495E+00
    0.4500000000E+04    0.6681926383E+00    0.2804181071E+00
    0.4700000000E+04    0.6686917368E+00    0.2849151004E+00
    0.4900000000E+04    0.6691506710E+00    0.2891740547E+00
    0.1000000000E+04    0.6293620355E+00    0.1221781996E+00
    0.3000000000E+04    0.6623774504E+00    0.2365557411E+00
    0.5000000000E+04    0.6693665613E+00    0.2912200954E+00
    0.7000000000E+04    0.6724018596E+00    0.3232417044E+00
    0.9000000000E+04    0.6740984896E+00    0.3442744087E+00
    0.1100000000E+05    0.6751820316E+00    0.3591462168E+00
    0.1300000000E+05    0.6759339600E+00    0.3702182329E+00
    0.1500000000E+05    0.6764863199E+00    0.3787817525E+00
    0.1700000000E+05    0.6769092677E+00    0.3856025121E+00
    0.1900000000E+05    0.6772435253E+00    0.3911633721E+00
    0.2100000000E+05    0.6775143516E+00    0.3957838964E+00
    0.2300000000E+05    0.6777382451E+00    0.3996840011E+00
    0.2500000000E+05    0.6779264391E+00    0.4030199864E+00
    0.2700000000E+05    0.6780868468E+00    0.4059059882E+00
    0.2900000000E+05    0.6782252033E+00    0.4084272975E+00
    0.3100000000E+05    0.6783457670E+00    0.4106489316E+00
    0.3300000000E+05    0.6784517660E+00    0.4126213195E+00
    0.3500000000E+05    0.6785456919E+00    0.4143841766E+00
    0.3700000000E+05    0.6786294987E+00    0.4159692059E+00
    0.3900000000E+05    0.6787047402E+00    0.4174020220E+00
    0.4100000000E+05    0.6787726675E+00    0.4187035454E+00
    0.4300000000E+05    0.6788342993E+00    0.4198910306E+00
    0.4500000000E+05    0.6788904736E+00    0.4209788359E+00
    0.4700000000E+05    0.6789418858E+00    0.4219790059E+00
    0.4900000000E+05    0.6789891181E+00    0.4229017202E+00
    0.1000000000E+05    0.6746940633E+00    0.3522978769E+00
    0.3000000000E+05    0.6782874874E+00    0.4095721326E+00
    0.5000000000E+05    0.6790113233E+00    0.4233367895E+00
    0.7000000000E+05    0.6793227046E+00    0.4295229512E+00
    0.9000000000E+05    0.6794963094E+00    0.4330382198E+00
    0.1100000000E+06    0.6796071933E+00    0.4353051385E+00
    0.1300000000E+06    0.6796842585E+00    0.4368883539E+00
    0.1500000000E+06    0.6797410061E+00    0.4380566018E+00
    0.1700000000E+06    0.6797845897E+00    0.4389540970E+00
    0.1900000000E+06    0.6798191543E+00    0.4396651677E+00
    0.2100000000E+06    0.6798472680E+00    0.4402424172E+00
    0.2300000000E+06    0.6798706068E+00    0.4407203606E+00
    0.2500000000E+06    0.6798903114E+00    0.4411225833E+00
    0.2700000000E+06    0.6799071853E+00    0.4414657507E+00
    0.2900000000E+06    0.6799218106E+00    0.4417619718E+00
    0.3100000000E+06    0.6799346196E+00    0.4420202576E+00
    0.3300000000E+06    0.6799459402E+00    0.4422474514E+00
    0.3500000000E+06    0.6799560255E+00    0.4424488443E+00
    0.3700000000E+06    0.6799650740E+00    0.4426285913E+00
    0.3900000000E+06    0.6799732438E+00    0.4427900009E+00
    0.4100000000E+06    0.6799806620E+00    0.4429357401E+00
    0.4300000000E+06    0.6799874324E+00    0.4430679825E+00
    0.4500000000E+06    0.6799936403E+00    0.4431885179E+00
    0.4700000000E+06    0.6799993566E+00    0.4432988327E+00
    0.4900000000E+06    0.6800046406E+00    0.4434001722E+00
    0.1000000000E+06    0.6795572438E+00    0.4342821190E+00
    0.3000000000E+06    0.6799284196E+00    0.4418953865E+00
    0.5000000000E+06    0.6800071365E+00    0.4434478111E+00
    0.7000000000E+06    0.6800432271E+00    0.4441152151E+00
    0.9000000000E+06    0.6800647925E+00    0.4444860466E+00
    0.1100000000E+07    0.6800795942E+00    0.4447217698E+00
    0.1300000000E+07    0.6800906584E+00    0.4448846668E+00
    0.1500000000E+07    0.6800994180E+00    0.4450038504E+00
    0.1700000000E+07    0.6801066435E+00    0.4450947479E+00
    0.1900000000E+07    0.6801127880E+00    0.4451662963E+00
    0.2100000000E+07    0.6801181370E+00    0.4452240297E+00
    0.2300000000E+07    0.6801228797E+00    0.4452715577E+00
    0.2500000000E+07    0.6801271472E+00    0.4453113348E+00
    0.2700000000E+07    0.6801310333E+00    0.4453450882E+00
    0.2900000000E+07    0.6801346074E+00    0.4453740683E+00
    0.3100000000E+07    0.6801379219E+00    0.4453992023E+00
    0.3300000000E+07    0.6801410171E+00    0.4454211929E+00
    0.3500000000E+07    0.6801439250E+00    0.4454405814E+00
    0.3700000000E+07    0.6801466708E+00    0.4454577924E+00
    0.3900000000E+07    0.6801492752E+00    0.4454731630E+00
    0.4100000000E+07    0.6801517552E+00    0.4454869643E+00
    0.4300000000E+07    0.6801541247E+00    0.4454994170E+00
    0.4500000000E+07    0.6801563955E+00    0.4455107024E+00
    0.4700000000E+07    0.6801585776E+00    0.4455209709E+00
    0.4900000000E+07    0.6801606796E+00    0.4455303482E+00
    0.1000000000E+07    0.6800727938E+00    0.4446157389E+00
    0.3000000000E+07    0.6801362944E+00    0.4453870677E+00
    0.5000000000E+07    0.6801617028E+00    0.4455347364E+00
    0.7000000000E+07    0.6801792981E+00    0.4455943978E+00
    0.9000000000E+07    0.6801933884E+00    0.4456251966E+00
    0.1100000000E+08    0.6802054258E+00    0.4456431228E+00
    0.1300000000E+08    0.6802160854E+00    0.4456542647E+00
    0.1500000000E+08    0.6802257413E+00    0.4456614322E+00
    0.1700000000E+08    0.6802346252E+00    0.4456660946E+00
    0.1900000000E+08    0.6802428918E+00    0.4456690914E+00
    0.2100000000E+08    0.6802506505E+00    0.4456709350E+00
    0.2300000000E+08    0.6802579819E+00    0.4456719546E+00
    0.2500000000E+08    0.6802649473E+00    0.4456723703E+00
    0.2700000000E+08    0.6802715946E+00    0.4456723346E+00
    0.2900000000E+08    0.6802779624E+00    0.4456719558E+00
    0.3100000000E+08    0.6802840818E+00    0.4456713127E+00
    0.3300000000E+08    0.6802899787E+00    0.4456704639E+00
    0.3500000000E+08    0.6802956749E+00    0.4456694538E+00
    0.3700000000E+08    0.6803011886E+00    0.4456683161E+00
    0.3900000000E+08    0.6803065357E+00    0.4456670772E+00
    0.4100000000E+08    0.6803117298E+00    0.4456657578E+00
    0.4300000000E+08    0.6803167827E+00    0.4456643743E+00
    0.4500000000E+08    0.6803217049E+00    0.4456629398E+00
    0.4700000000E+08    0.6803265055E+00    0.4456614650E+00
    0.4900000000E+08    0.6803311928E+00    0.4456599584E+00
    0.1000000000E+08    0.6801996115E+00    0.4456352727E+00
    0.3000000000E+08    0.6802810514E+00    0.4456716632E+00
    0.5000000000E+08    0.6803334963E+00    0.4456591954E+00
    0.7000000000E+08    0.6803750436E+00    0.4456434337E+00
    0.9000000000E+08    0.6804103947E+00    0.4456279737E+00
    0.1100000000E+09    0.6804416207E+00    0.4456133657E+00
    0.1300000000E+09    0.6804698503E+00    0.4455996396E+00
    0.1500000000E+09    0.6804957787E+00    0.4455867178E+00
    0.1700000000E+09    0.6805198694E+00    0.4455745069E+00
    0.1900000000E+09    0.6805424494E+00    0.4455629207E+00
    0.2100000000E+09    0.6805637597E+00    0.4455518849E+00
    0.2300000000E+09    0.6805839839E+00    0.4455413366E+00
    0.2500000000E+09    0.6806032654E+00    0.4455312228E+00
    0.2700000000E+09    0.6806217190E+00    0.4455214987E+00
    0.2900000000E+09    0.6806394381E+00    0.4455121264E+00
    0.3100000000E+09    0.6806564997E+00    0.4455030731E+00
    0.3300000000E+09    0.6806729687E+00    0.4454943109E+00
    0.3500000000E+09    0.6806888998E+00    0.4454858154E+00
    0.3700000000E+09    0.6807043399E+00    0.4454775654E+00
    0.3900000000E+09    0.6807193297E+00    0.4454695422E+00
    0.4100000000E+09    0.6807339044E+00    0.4454617294E+00
    0.4300000000E+09    0.6807480949E+00    0.4454541123E+00
    0.4500000000E+09    0.6807619287E+00    0.4454466779E+00
    0.4700000000E+09    0.6807754300E+00    0.4454394145E+00
    0.4900000000E+09    0.6807886205E+00    0.4454323116E+00
    0.1000000000E+09    0.6804264390E+00    0.4456205567E+00
