     Pressure (Pa)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1493508152E-02    0.6847053303E-02
    0.3000000000E+01    0.4460944407E-02    0.2013953379E-01
    0.5000000000E+01    0.7402557955E-02    0.3292218921E-01
    0.7000000000E+01    0.1031868445E-01    0.4522380181E-01
    0.9000000000E+01    0.1320965377E-01    0.5707102722E-01
    0.1100000000E+02    0.1607579009E-01    0.6848858737E-01
    0.1300000000E+02    0.1891741208E-01    0.7949944263E-01
    0.1500000000E+02    0.2173483295E-01    0.9012494603E-01
    0.1700000000E+02    0.2452836062E-01    0.1003849815E+00
    0.1900000000E+02    0.2729829778E-01    0.1102980880E+00
    0.2100000000E+02    0.3004494205E-01    0.1198815714E+00
    0.2300000000E+02    0.3276858607E-01    0.1291516053E+00
    0.2500000000E+02    0.3546951757E-01    0.1381233224E+00
    0.2700000000E+02    0.3814801952E-01    0.1468108963E+00
    0.2900000000E+02    0.4080437022E-01    0.1552276170E+00
    0.3100000000E+02    0.4343884335E-01    0.1633859581E+00
    0.3300000000E+02    0.4605170814E-01    0.1712976392E+00
    0.3500000000E+02    0.4864322938E-01    0.1789736812E+00
    0.3700000000E+02    0.5121366758E-01    0.1864244584E+00
    0.3900000000E+02    0.5376327903E-01    0.1936597447E+00
    0.4100000000E+02    0.5629231586E-01    0.2006887567E+00
    0.4300000000E+02    0.5880102615E-01    0.2075201927E+00
    0.4500000000E+02    0.6128965403E-01    0.2141622687E+00
    0.4700000000E+02    0.6375843972E-01    0.2206227515E+00
    0.4900000000E+02    0.6620761962E-01    0.2269089886E+00
    0.1000000000E+02    0.1464580601E-01    0.6283204103E-01
    0.3000000000E+02    0.4212432455E-01    0.1593383355E+00
    0.5000000000E+02    0.6742493025E-01    0.2299889535E+00
    0.7000000000E+02    0.9079671867E-01    0.2839479708E+00
    0.9000000000E+02    0.1124521923E+00    0.3265061955E+00
    0.1100000000E+03    0.1325737421E+00    0.3609319623E+00
    0.1300000000E+03    0.1513187988E+00    0.3893532411E+00
    0.1500000000E+03    0.1688239613E+00    0.4132151040E+00
    0.1700000000E+03    0.1852083323E+00    0.4335333264E+00
    0.1900000000E+03    0.2005762324E+00    0.4510427873E+00
    0.2100000000E+03    0.2150194245E+00    0.4662882911E+00
    0.2300000000E+03    0.2286189485E+00    0.4796822900E+00
    0.2500000000E+03    0.2414466428E+00    0.4915427760E+00
    0.2700000000E+03    0.2535664141E+00    0.5021188593E+00
    0.2900000000E+03    0.2650353035E+00    0.5116084620E+00
    0.3100000000E+03    0.2759043833E+00    0.5201708243E+00
    0.3300000000E+03    0.2862195187E+00    0.5279355148E+00
    0.3500000000E+03    0.2960220146E+00    0.5350090342E+00
    0.3700000000E+03    0.3053491685E+00    0.5414797305E+00
    0.3900000000E+03    0.3142347453E+00    0.5474215087E+00
    0.4100000000E+03    0.3227093856E+00    0.5528966667E+00
    0.4300000000E+03    0.3308009594E+00    0.5579580876E+00
    0.4500000000E+03    0.3385348715E+00    0.5626509541E+00
    0.4700000000E+03    0.3459343289E+00    0.5670141004E+00
    0.4900000000E+03    0.3530205734E+00    0.5710810899E+00
    0.1000000000E+03    0.1226943360E+00    0.3445826168E+00
    0.3000000000E+03    0.2705418390E+00    0.5159968418E+00
    0.5000000000E+03    0.3564523920E+00    0.5730127895E+00
    0.7000000000E+03    0.4126099537E+00    0.6014955963E+00
    0.9000000000E+03    0.4521916444E+00    0.6185748792E+00
    0.1100000000E+04    0.4815939260E+00    0.6299552117E+00
    0.1300000000E+04    0.5042970389E+00    0.6380801922E+00
    0.1500000000E+04    0.5223569300E+00    0.6441712124E+00
    0.1700000000E+04    0.5370662673E+00    0.6489066470E+00
    0.1900000000E+04    0.5492785836E+00    0.6526934297E+00
    0.2100000000E+04    0.5595801621E+00    0.6557904657E+00
    0.2300000000E+04    0.5683870465E+00    0.6583703246E+00
    0.2500000000E+04    0.5760026534E+00    0.6605524556E+00
    0.2700000000E+04    0.5826534703E+00    0.6624221635E+00
    0.2900000000E+04    0.5885119845E+00    0.6640419940E+00
    0.3100000000E+04    0.5937118734E+00    0.6654588480E+00
    0.3300000000E+04    0.5983583386E+00    0.6667085844E+00
    0.3500000000E+04    0.6025353057E+00    0.6678190885E+00
    0.3700000000E+04    0.6063105448E+00    0.6688123713E+00
    0.3900000000E+04    0.6097393791E+00    0.6697060385E+00
    0.4100000000E+04    0.6128674176E+00    0.6705143400E+00
    0.4300000000E+04    0.6157325979E+00    0.6712489326E+00
    0.4500000000E+04    0.6183667339E+00    0.6719194444E+00
    0.4700000000E+04    0.6207967036E+00    0.6725338974E+00
    0.4900000000E+04    0.6230453708E+00    0.6730990291E+00
    0.1000000000E+04    0.4679028405E+00    0.6247830173E+00
    0.3000000000E+04    0.5911871112E+00    0.6647733349E+00
    0.5000000000E+04    0.6241079443E+00    0.6733649156E+00
    0.7000000000E+04    0.6393793197E+00    0.6771050134E+00
    0.9000000000E+04    0.6481970824E+00    0.6791958395E+00
    0.1100000000E+05    0.6539398032E+00    0.6805302383E+00
    0.1300000000E+05    0.6579778675E+00    0.6814553132E+00
    0.1500000000E+05    0.6609725784E+00    0.6821340649E+00
    0.1700000000E+05    0.6632822854E+00    0.6826531359E+00
    0.1900000000E+05    0.6651180566E+00    0.6830628242E+00
    0.2100000000E+05    0.6666123019E+00    0.6833943261E+00
    0.2300000000E+05    0.6678522961E+00    0.6836680145E+00
    0.2500000000E+05    0.6688979027E+00    0.6838977563E+00
    0.2700000000E+05    0.6697915536E+00    0.6840933166E+00
    0.2900000000E+05    0.6705641646E+00    0.6842617698E+00
    0.3100000000E+05    0.6712387944E+00    0.6844083665E+00
    0.3300000000E+05    0.6718329922E+00    0.6845370850E+00
    0.3500000000E+05    0.6723603506E+00    0.6846509948E+00
    0.3700000000E+05    0.6728315615E+00    0.6847525015E+00
    0.3900000000E+05    0.6732551506E+00    0.6848435175E+00
    0.4100000000E+05    0.6736380002E+00    0.6849255816E+00
    0.4300000000E+05    0.6739857263E+00    0.6849999462E+00
    0.4500000000E+05    0.6743029578E+00    0.6850676410E+00
    0.4700000000E+05    0.6745935438E+00    0.6851295201E+00
    0.4900000000E+05    0.6748607116E+00    0.6851862980E+00
    0.1000000000E+05    0.6513426100E+00    0.6799294449E+00
    0.3000000000E+05    0.6709125223E+00    0.6843375267E+00
    0.5000000000E+05    0.6749863824E+00    0.6852129661E+00
    0.7000000000E+05    0.6767530797E+00    0.6855848241E+00
    0.9000000000E+05    0.6777412063E+00    0.6857897015E+00
    0.1100000000E+06    0.6783730098E+00    0.6859190735E+00
    0.1300000000E+06    0.6788120491E+00    0.6860079907E+00
    0.1500000000E+06    0.6791350189E+00    0.6860727497E+00
    0.1700000000E+06    0.6793826687E+00    0.6861219474E+00
    0.1900000000E+06    0.6795786579E+00    0.6861605440E+00
    0.2100000000E+06    0.6797376683E+00    0.6861915999E+00
    0.2300000000E+06    0.6798692946E+00    0.6862171046E+00
    0.2500000000E+06    0.6799800730E+00    0.6862384068E+00
    0.2700000000E+06    0.6800746106E+00    0.6862564528E+00
    0.2900000000E+06    0.6801562487E+00    0.6862719257E+00
    0.3100000000E+06    0.6802274693E+00    0.6862853311E+00
    0.3300000000E+06    0.6802901556E+00    0.6862970507E+00
    0.3500000000E+06    0.6803457617E+00    0.6863073784E+00
    0.3700000000E+06    0.6803954288E+00    0.6863165438E+00
    0.3900000000E+06    0.6804400648E+00    0.6863247289E+00
    0.4100000000E+06    0.6804804013E+00    0.6863320800E+00
    0.4300000000E+06    0.6805170343E+00    0.6863387156E+00
    0.4500000000E+06    0.6805504544E+00    0.6863447332E+00
    0.4700000000E+06    0.6805810689E+00    0.6863502132E+00
    0.4900000000E+06    0.6806092190E+00    0.6863552230E+00
    0.1000000000E+06    0.6780883780E+00    0.6858609750E+00
    0.3000000000E+06    0.6801930318E+00    0.6862788606E+00
    0.5000000000E+06    0.6806224617E+00    0.6863575695E+00
    0.7000000000E+06    0.6808088468E+00    0.6863897600E+00
    0.9000000000E+06    0.6809134712E+00    0.6864069110E+00
    0.1100000000E+07    0.6809806570E+00    0.6864174069E+00
    0.1300000000E+07    0.6810275537E+00    0.6864244067E+00
    0.1500000000E+07    0.6810622064E+00    0.6864293572E+00
    0.1700000000E+07    0.6810888939E+00    0.6864330108E+00
    0.1900000000E+07    0.6811101044E+00    0.6864357960E+00
    0.2100000000E+07    0.6811273843E+00    0.6864379738E+00
    0.2300000000E+07    0.6811417458E+00    0.6864397116E+00
    0.2500000000E+07    0.6811538800E+00    0.6864411218E+00
    0.2700000000E+07    0.6811642745E+00    0.6864422821E+00
    0.2900000000E+07    0.6811732840E+00    0.6864432481E+00
    0.3100000000E+07    0.6811811722E+00    0.6864440603E+00
    0.3300000000E+07    0.6811881395E+00    0.6864447492E+00
    0.3500000000E+07    0.6811943412E+00    0.6864453377E+00
    0.3700000000E+07    0.6811998990E+00    0.6864458438E+00
    0.3900000000E+07    0.6812049103E+00    0.6864462815E+00
    0.4100000000E+07    0.6812094534E+00    0.6864466618E+00
    0.4300000000E+07    0.6812135924E+00    0.6864469936E+00
    0.4500000000E+07    0.6812173800E+00    0.6864472843E+00
    0.4700000000E+07    0.6812208602E+00    0.6864475396E+00
    0.4900000000E+07    0.6812240697E+00    0.6864477647E+00
    0.1000000000E+07    0.6809503525E+00    0.6864127329E+00
    0.3000000000E+07    0.6811773545E+00    0.6864436713E+00
    0.5000000000E+07    0.6812255829E+00    0.6864478671E+00
    0.7000000000E+07    0.6812471593E+00    0.6864490243E+00
    0.9000000000E+07    0.6812595841E+00    0.6864493576E+00
    0.1100000000E+08    0.6812677448E+00    0.6864493902E+00
    0.1300000000E+08    0.6812735588E+00    0.6864492967E+00
    0.1500000000E+08    0.6812779364E+00    0.6864491477E+00
    0.1700000000E+08    0.6812813673E+00    0.6864489748E+00
    0.1900000000E+08    0.6812841395E+00    0.6864487936E+00
    0.2100000000E+08    0.6812864334E+00    0.6864486118E+00
    0.2300000000E+08    0.6812883683E+00    0.6864484334E+00
    0.2500000000E+08    0.6812900264E+00    0.6864482604E+00
    0.2700000000E+08    0.6812914662E+00    0.6864480938E+00
    0.2900000000E+08    0.6812927305E+00    0.6864479340E+00
    0.3100000000E+08    0.6812938514E+00    0.6864477808E+00
