     Pressure (Pa)     2mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.4673335453E-02    0.1861808963E-03    0.2002756398E-01
    0.3000000000E+01    0.1321562647E-01    0.5531391297E-03    0.5619059370E-01
    0.5000000000E+01    0.2085239520E-01    0.9131200083E-03    0.8797154103E-01
    0.7000000000E+01    0.2774188707E-01    0.1266383915E-02    0.1161394942E+00
    0.9000000000E+01    0.3400647298E-01    0.1613177806E-02    0.1412924859E+00
    0.1100000000E+02    0.3974228196E-01    0.1953736083E-02    0.1639026298E+00
    0.1300000000E+02    0.4502589703E-01    0.2288281395E-02    0.1843476726E+00
    0.1500000000E+02    0.4991910540E-01    0.2617025381E-02    0.2029335042E+00
    0.1700000000E+02    0.5447233066E-01    0.2940169356E-02    0.2199105128E+00
    0.1900000000E+02    0.5872715345E-01    0.3257904945E-02    0.2354856628E+00
    0.2100000000E+02    0.6271819045E-01    0.3570414668E-02    0.2498315463E+00
    0.2300000000E+02    0.6647451393E-01    0.3877872492E-02    0.2630932592E+00
    0.2500000000E+02    0.7002073758E-01    0.4180444328E-02    0.2753936868E+00
    0.2700000000E+02    0.7337785643E-01    0.4478288511E-02    0.2868376139E+00
    0.2900000000E+02    0.7656390331E-01    0.4771556228E-02    0.2975149535E+00
    0.3100000000E+02    0.7959446700E-01    0.5060391931E-02    0.3075033063E+00
    0.3300000000E+02    0.8248310470E-01    0.5344933714E-02    0.3168700084E+00
    0.3500000000E+02    0.8524167328E-01    0.5625313667E-02    0.3256737832E+00
    0.3700000000E+02    0.8788059722E-01    0.5901658205E-02    0.3339660823E+00
    0.3900000000E+02    0.9040908705E-01    0.6174088378E-02    0.3417921840E+00
    0.4100000000E+02    0.9283531853E-01    0.6442720157E-02    0.3491920974E+00
    0.4300000000E+02    0.9516658064E-01    0.6707664706E-02    0.3562013120E+00
    0.4500000000E+02    0.9740939855E-01    0.6969028632E-02    0.3628514221E+00
    0.4700000000E+02    0.9956963631E-01    0.7226914223E-02    0.3691706506E+00
    0.4900000000E+02    0.1016525832E+00    0.7481419668E-02    0.3751842900E+00
    0.1000000000E+02    0.3693529338E-01    0.1784222214E-02    0.1528898925E+00
    0.3000000000E+02    0.7809772984E-01    0.4916519306E-02    0.3025908252E+00
    0.5000000000E+02    0.1026665865E+00    0.7607434452E-02    0.3780837095E+00
    0.7000000000E+02    0.1198436558E+00    0.9971338842E-02    0.4244919040E+00
    0.9000000000E+02    0.1327859930E+00    0.1208462609E-01    0.4563251450E+00
    0.1100000000E+03    0.1429682337E+00    0.1400050466E-01    0.4797358998E+00
    0.1300000000E+03    0.1512101685E+00    0.1575732479E-01    0.4978016734E+00
