     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)
    0.1000000000E+01    0.2124130924E-02    0.1303526281E-03    0.1307013539E-02
    0.3000000000E+01    0.6330882669E-02    0.3879469968E-03    0.3905060231E-02
    0.5000000000E+01    0.1048319039E-01    0.6414607552E-03    0.6482023520E-02
    0.7000000000E+01    0.1458211280E-01    0.8909728477E-03    0.9038167981E-02
    0.9000000000E+01    0.1862868127E-01    0.1136560282E-02    0.1157375374E-01
    0.1100000000E+02    0.2262390073E-01    0.1378298186E-02    0.1408903658E-01
    0.1300000000E+02    0.2656875051E-01    0.1616259868E-02    0.1658426802E-01
    0.1500000000E+02    0.3046418512E-01    0.1850516869E-02    0.1905969540E-01
    0.1700000000E+02    0.3431113506E-01    0.2081139017E-02    0.2151556198E-01
    0.1900000000E+02    0.3811050758E-01    0.2308194474E-02    0.2395210702E-01
    0.2100000000E+02    0.4186318736E-01    0.2531749793E-02    0.2636956585E-01
    0.2300000000E+02    0.4557003727E-01    0.2751869955E-02    0.2876816996E-01
    0.2500000000E+02    0.4923189896E-01    0.2968618425E-02    0.3114814708E-01
    0.2700000000E+02    0.5284959358E-01    0.3182057189E-02    0.3350972126E-01
    0.2900000000E+02    0.5642392236E-01    0.3392246797E-02    0.3585311292E-01
    0.3100000000E+02    0.5995566724E-01    0.3599246409E-02    0.3817853895E-01
    0.3300000000E+02    0.6344559139E-01    0.3803113829E-02    0.4048621277E-01
    0.3500000000E+02    0.6689443985E-01    0.4003905546E-02    0.4277634440E-01
    0.3700000000E+02    0.7030294002E-01    0.4201676772E-02    0.4504914051E-01
    0.3900000000E+02    0.7367180216E-01    0.4396481474E-02    0.4730480453E-01
    0.4100000000E+02    0.7700171994E-01    0.4588372412E-02    0.4954353667E-01
    0.4300000000E+02    0.8029337090E-01    0.4777401172E-02    0.5176553399E-01
    0.4500000000E+02    0.8354741689E-01    0.4963618195E-02    0.5397099049E-01
    0.4700000000E+02    0.8676450458E-01    0.5147072814E-02    0.5616009714E-01
    0.4900000000E+02    0.8994526584E-01    0.5327813277E-02    0.5833304194E-01
    0.1000000000E+02    0.2063264783E-01    0.1257905801E-02    0.1283391721E-01
    0.3000000000E+02    0.5819506966E-01    0.3496141709E-02    0.3701805822E-01
    0.5000000000E+02    0.9152221759E-01    0.5417180491E-02    0.5941351161E-01
    0.7000000000E+02    0.1212974411E+00    0.7073009254E-02    0.8021810845E-01
    0.9000000000E+02    0.1480642951E+00    0.8505365667E-02    0.9960125988E-01
    0.1100000000E+03    0.1722605689E+00    0.9748122403E-02    0.1177088812E+00
    0.1300000000E+03    0.1942428353E+00    0.1082903344E-01    0.1346673297E+00
    0.1500000000E+03    0.2143044639E+00    0.1177103420E-01    0.1505865788E+00
    0.1700000000E+03    0.2326890423E+00    0.1259322382E-01    0.1655627950E+00
    0.1900000000E+03    0.2496005164E+00    0.1331161709E-01    0.1796804446E+00
    0.2100000000E+03    0.2652109474E+00    0.1393972692E-01    0.1930140265E+00
    0.2300000000E+03    0.2796665158E+00    0.1448902047E-01    0.2056295072E+00
    0.2500000000E+03    0.2930922169E+00    0.1496927977E-01    0.2175855142E+00
    0.2700000000E+03    0.3055955701E+00    0.1538888941E-01    0.2289343354E+00
    0.2900000000E+03    0.3172695738E+00    0.1575506796E-01    0.2397227593E+00
    0.3100000000E+03    0.3281950805E+00    0.1607405551E-01    0.2499927850E+00
    0.3300000000E+03    0.3384427206E+00    0.1635126672E-01    0.2597822249E+00
    0.3500000000E+03    0.3480744705E+00    0.1659141650E-01    0.2691252185E+00
    0.3700000000E+03    0.3571449415E+00    0.1679862389E-01    0.2780526723E+00
    0.3900000000E+03    0.3657024440E+00    0.1697649830E-01    0.2865926377E+00
    0.4100000000E+03    0.3737898728E+00    0.1712821163E-01    0.2947706370E+00
    0.4300000000E+03    0.3814454464E+00    0.1725655871E-01    0.3026099454E+00
    0.4500000000E+03    0.3887033291E+00    0.1736400827E-01    0.3101318364E+00
    0.4700000000E+03    0.3955941558E+00    0.1745274615E-01    0.3173557951E+00
    0.4900000000E+03    0.4021454771E+00    0.1752471195E-01    0.3242997048E+00
    0.1000000000E+03    0.1604598027E+00    0.9148583012E-02    0.1088061965E+00
