     Pressure (Pa)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.9108613566E-03    0.3736564058E-03    0.3436966402E-02
    0.3000000000E+01    0.2701522574E-02    0.1117735773E-02    0.1018700213E-01
    0.5000000000E+01    0.4452000527E-02    0.1857542765E-02    0.1677689374E-01
    0.7000000000E+01    0.6163710551E-02    0.2593123440E-02    0.2321244536E-01
    0.9000000000E+01    0.7837999772E-02    0.3324523170E-02    0.2949918198E-01
    0.1100000000E+02    0.9476151212E-02    0.4051786660E-02    0.3564236609E-01
    0.1300000000E+02    0.1107938759E-01    0.4774957957E-02    0.4164701310E-01
    0.1500000000E+02    0.1264887488E-01    0.5494080464E-02    0.4751790570E-01
    0.1700000000E+02    0.1418572558E-01    0.6209196950E-02    0.5325960722E-01
    0.1900000000E+02    0.1569100179E-01    0.6920349563E-02    0.5887647413E-01
    0.2100000000E+02    0.1716571807E-01    0.7627579840E-02    0.6437266762E-01
    0.2300000000E+02    0.1861084413E-01    0.8330928721E-02    0.6975216446E-01
    0.2500000000E+02    0.2002730725E-01    0.9030436555E-02    0.7501876714E-01
    0.2700000000E+02    0.2141599467E-01    0.9726143116E-02    0.8017611330E-01
    0.2900000000E+02    0.2277775574E-01    0.1041808761E-01    0.8522768463E-01
    0.3100000000E+02    0.2411340395E-01    0.1110630869E-01    0.9017681515E-01
    0.3300000000E+02    0.2542371882E-01    0.1179084445E-01    0.9502669896E-01
    0.3500000000E+02    0.2670944770E-01    0.1247173245E-01    0.9978039754E-01
    0.3700000000E+02    0.2797130742E-01    0.1314900975E-01    0.1044408466E+00
    0.3900000000E+02    0.2920998591E-01    0.1382271284E-01    0.1090108624E+00
    0.4100000000E+02    0.3042614358E-01    0.1449287776E-01    0.1134931479E+00
    0.4300000000E+02    0.3162041480E-01    0.1515953999E-01    0.1178902984E+00
    0.4500000000E+02    0.3279340912E-01    0.1582273456E-01    0.1222048068E+00
    0.4700000000E+02    0.3394571255E-01    0.1648249601E-01    0.1264390686E+00
    0.4900000000E+02    0.3507788867E-01    0.1713885839E-01    0.1305953868E+00
    0.1000000000E+02    0.8661514924E-02    0.3688669177E-02    0.3258839902E-01
    0.3000000000E+02    0.2344879446E-01    0.1076266118E-01    0.8771485217E-01
    0.5000000000E+02    0.3563659924E-01    0.1746577544E-01    0.1326450124E+00
    0.7000000000E+02    0.4587573811E-01    0.2383362939E-01    0.1700415966E+00
    0.9000000000E+02    0.5460910429E-01    0.2989726867E-01    0.2017081436E+00
    0.1100000000E+03    0.6214972068E-01    0.3568388434E-01    0.2289104538E+00
    0.1300000000E+03    0.6872592480E-01    0.4121739871E-01    0.2525636481E+00
    0.1500000000E+03    0.7450879237E-01    0.4651894715E-01    0.2733461386E+00
    0.1700000000E+03    0.7962945982E-01    0.5160727676E-01    0.2917718049E+00
    0.1900000000E+03    0.8419044875E-01    0.5649907824E-01    0.3082372376E+00
    0.2100000000E+03    0.8827329348E-01    0.6120926368E-01    0.3230535576E+00
    0.2300000000E+03    0.9194381526E-01    0.6575120025E-01    0.3364683870E+00
    0.2500000000E+03    0.9525585467E-01    0.7013690787E-01    0.3486813587E+00
    0.2700000000E+03    0.9825396815E-01    0.7437722711E-01    0.3598552784E+00
    0.2900000000E+03    0.1009754127E+00    0.7848196236E-01    0.3701243017E+00
