     Pressure (Pa)     22mC5-400 (mol/kg)     3mC6-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.7375960855E-02    0.1590576097E-02    0.1850208150E-03    0.1720642246E-02
    0.3000000000E+01    0.2164654532E-01    0.4725824383E-02    0.5429993157E-03    0.5112481867E-02
    0.5000000000E+01    0.3530950453E-01    0.7801323114E-02    0.8857494387E-03    0.8439961722E-02
    0.7000000000E+01    0.4840283723E-01    0.1081876148E-01    0.1214223223E-02    0.1170489984E-01
    0.9000000000E+01    0.6096143846E-01    0.1377976562E-01    0.1529294957E-02    0.1490904634E-01
    0.1100000000E+02    0.7301741010E-01    0.1668590153E-01    0.1831768959E-02    0.1805408656E-01
    0.1300000000E+02    0.8460033486E-01    0.1953867783E-01    0.2122386437E-02    0.2114164405E-01
    0.1500000000E+02    0.9573751862E-01    0.2233954835E-01    0.2401831565E-02    0.2417328335E-01
    0.1700000000E+02    0.1064542053E+00    0.2508991459E-01    0.2670736860E-02    0.2715051271E-01
    0.1900000000E+02    0.1167737681E+00    0.2779112808E-01    0.2929687969E-02    0.3007478655E-01
    0.2100000000E+02    0.1267178794E+00    0.3044449259E-01    0.3179227934E-02    0.3294750786E-01
    0.2300000000E+02    0.1363066626E+00    0.3305126616E-01    0.3419860996E-02    0.3577003047E-01
    0.2500000000E+02    0.1455588284E+00    0.3561266317E-01    0.3652055997E-02    0.3854366115E-01
    0.2700000000E+02    0.1544917967E+00    0.3812985615E-01    0.3876249439E-02    0.4126966169E-01
    0.2900000000E+02    0.1631218054E+00    0.4060397762E-01    0.4092848219E-02    0.4394925079E-01
    0.3100000000E+02    0.1714640096E+00    0.4303612173E-01    0.4302232102E-02    0.4658360589E-01
    0.3300000000E+02    0.1795325702E+00    0.4542734593E-01    0.4504755942E-02    0.4917386489E-01
    0.3500000000E+02    0.1873407340E+00    0.4777867244E-01    0.4700751696E-02    0.5172112783E-01
    0.3700000000E+02    0.1949009065E+00    0.5009108973E-01    0.4890530236E-02    0.5422645842E-01
    0.3900000000E+02    0.2022247172E+00    0.5236555390E-01    0.5074383003E-02    0.5669088557E-01
    0.4100000000E+02    0.2093230799E+00    0.5460299001E-01    0.5252583497E-02    0.5911540473E-01
    0.4300000000E+02    0.2162062467E+00    0.5680429329E-01    0.5425388639E-02    0.6150097934E-01
    0.4500000000E+02    0.2228838572E+00    0.5897033037E-01    0.5593040010E-02    0.6384854201E-01
    0.4700000000E+02    0.2293649838E+00    0.6110194040E-01    0.5755764975E-02    0.6615899580E-01
    0.4900000000E+02    0.2356581728E+00    0.6319993611E-01    0.5913777718E-02    0.6843321539E-01
    0.1000000000E+02    0.6705034800E-01    0.1523959650E-01    0.1682058944E-02    0.1648885185E-01
    0.3000000000E+02    0.1673279757E+00    0.4182522991E-01    0.4198419285E-02    0.4527201057E-01
