     Pressure (Pa)     3mC6-400 (mol/kg)     33mC5-400 (mol/kg)     23mC5-400 (mol/kg)     C7-400 (mol/kg)
    0.1000000000E+01    0.1562433551E-02    0.3210707975E-03    0.3738708839E-03    0.1352279512E-01
    0.3000000000E+01    0.4485767752E-02    0.9289951693E-03    0.1119654466E-02    0.3883250044E-01
    0.5000000000E+01    0.7168090526E-02    0.1496260593E-02    0.1862840514E-02    0.6206591004E-01
    0.7000000000E+01    0.9638033459E-02    0.2027966056E-02    0.2603444969E-02    0.8346929113E-01
    0.9000000000E+01    0.1191986521E-01    0.2528401924E-02    0.3341483637E-02    0.1032514140E+00
    0.1100000000E+02    0.1403429201E-01    0.3001201757E-02    0.4076972191E-02    0.1215904287E+00
    0.1300000000E+02    0.1599908819E-01    0.3449461433E-02    0.4809926175E-02    0.1386392815E+00
    0.1500000000E+02    0.1782959732E-01    0.3875833467E-02    0.5540361000E-02    0.1545300214E+00
    0.1700000000E+02    0.1953913405E-01    0.4282602322E-02    0.6268291952E-02    0.1693772523E+00
    0.1900000000E+02    0.2113930871E-01    0.4671745020E-02    0.6993734189E-02    0.1832809224E+00
    0.2100000000E+02    0.2264029157E-01    0.5044980273E-02    0.7716702744E-02    0.1963285959E+00
    0.2300000000E+02    0.2405102942E-01    0.5403808577E-02    0.8437212524E-02    0.2085973135E+00
    0.2500000000E+02    0.2537942415E-01    0.5749545141E-02    0.9155278315E-02    0.2201551284E+00
    0.2700000000E+02    0.2663248103E-01    0.6083347103E-02    0.9870914782E-02    0.2310623800E+00
    0.2900000000E+02    0.2781643233E-01    0.6406236129E-02    0.1058413647E-01    0.2413727574E+00
    0.3100000000E+02    0.2893684115E-01    0.6719117297E-02    0.1129495779E-01    0.2511341917E+00
    0.3300000000E+02    0.2999868882E-01    0.7022794944E-02    0.1200339307E-01    0.2603896077E+00
    0.3500000000E+02    0.3100644909E-01    0.7317986029E-02    0.1270945649E-01    0.2691775617E+00
    0.3700000000E+02    0.3196415117E-01    0.7605331454E-02    0.1341316212E-01    0.2775327836E+00
    0.3900000000E+02    0.3287543357E-01    0.7885405692E-02    0.1411452392E-01    0.2854866404E+00
    0.4100000000E+02    0.3374359039E-01    0.8158725009E-02    0.1481355574E-01    0.2930675338E+00
    0.4300000000E+02    0.3457161114E-01    0.8425754512E-02    0.1551027132E-01    0.3003012430E+00
    0.4500000000E+02    0.3536221512E-01    0.8686914210E-02    0.1620468427E-01    0.3072112205E+00
