     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.7434697286E-04    0.7313558964E-04
    0.3000000000E+01    0.2229440522E-03    0.2193097216E-03
    0.5000000000E+01    0.3714121175E-03    0.3653545992E-03
    0.7000000000E+01    0.5197513376E-03    0.5112703929E-03
    0.9000000000E+01    0.6679618813E-03    0.6570572727E-03
    0.1100000000E+02    0.8160439169E-03    0.8027154083E-03
    0.1300000000E+02    0.9639976126E-03    0.9482449692E-03
    0.1500000000E+02    0.1111823136E-02    0.1093646124E-02
    0.1700000000E+02    0.1259520655E-02    0.1238919043E-02
    0.1900000000E+02    0.1407090337E-02    0.1384063893E-02
    0.2100000000E+02    0.1554532348E-02    0.1529080844E-02
    0.2300000000E+02    0.1701846855E-02    0.1673970062E-02
    0.2500000000E+02    0.1849034025E-02    0.1818731716E-02
    0.2700000000E+02    0.1996094023E-02    0.1963365973E-02
    0.2900000000E+02    0.2143027016E-02    0.2107873001E-02
    0.3100000000E+02    0.2289833168E-02    0.2252252965E-02
    0.3300000000E+02    0.2436512646E-02    0.2396506033E-02
    0.3500000000E+02    0.2583065613E-02    0.2540632370E-02
    0.3700000000E+02    0.2729492235E-02    0.2684632143E-02
    0.3900000000E+02    0.2875792676E-02    0.2828505517E-02
    0.4100000000E+02    0.3021967100E-02    0.2972252658E-02
    0.4300000000E+02    0.3168015671E-02    0.3115873730E-02
    0.4500000000E+02    0.3313938551E-02    0.3259368899E-02
    0.4700000000E+02    0.3459735906E-02    0.3402738328E-02
    0.4900000000E+02    0.3605407896E-02    0.3545982183E-02
    0.5100000000E+02    0.3750954685E-02    0.3689100627E-02
    0.5300000000E+02    0.3896376436E-02    0.3832093823E-02
    0.5500000000E+02    0.4041673310E-02    0.3974961935E-02
    0.5700000000E+02    0.4186845469E-02    0.4117705126E-02
    0.5900000000E+02    0.4331893075E-02    0.4260323559E-02
    0.6100000000E+02    0.4476816288E-02    0.4402817396E-02
    0.6300000000E+02    0.4621615271E-02    0.4545186800E-02
    0.6500000000E+02    0.4766290183E-02    0.4687431932E-02
    0.6700000000E+02    0.4910841184E-02    0.4829552954E-02
    0.6900000000E+02    0.5055268436E-02    0.4971550028E-02
    0.7100000000E+02    0.5199572098E-02    0.5113423314E-02
    0.7300000000E+02    0.5343752329E-02    0.5255172974E-02
    0.7500000000E+02    0.5487809289E-02    0.5396799167E-02
    0.7700000000E+02    0.5631743136E-02    0.5538302054E-02
    0.7900000000E+02    0.5775554030E-02    0.5679681796E-02
    0.8100000000E+02    0.5919242129E-02    0.5820938551E-02
