ID,animal name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
0,aardvark,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,Mammal
1,antelope,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,Mammal
2,bass,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
3,bear,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,Mammal
4,boar,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
5,buffalo,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,Mammal
6,calf,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,Mammal
7,carp,0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,Fish
8,catfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
9,cavy,1,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,Mammal
10,cheetah,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
11,chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,Bird
12,chub,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
13,clam,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Invertebrate
14,crab,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Invertebrate
15,crayfish,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,Invertebrate
16,crow,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,Bird
17,deer,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,Mammal
18,dogfish,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Fish
19,dolphin,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mammal
20,dove,0,1,1,0,1,0,0,0,1,1,0,0,1,1,1,0,Bird
21,duck,0,1,1,0,1,1,0,0,1,1,0,0,1,1,0,0,Bird
22,elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,Mammal
23,flamingo,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,Bird
24,flea,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Bug
25,frog,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,0,Amphibian
26,frog,0,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,Amphibian
27,fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,Mammal
28,giraffe,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,Mammal
29,girl,1,0,0,1,0,0,1,1,1,1,0,0,1,0,1,1,Mammal
30,gnat,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,Bug
31,goat,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1,Mammal
32,gorilla,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,Mammal
33,gull,0,1,1,0,1,1,1,0,1,1,0,0,1,1,0,0,Bird
34,haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Fish
35,hamster,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,Mammal
36,hare,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,Mammal
37,hawk,0,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,Bird
38,herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Fish
39,honeybee,1,0,1,0,1,0,0,0,0,1,1,0,1,0,1,0,Bug
40,housefly,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,Bug
41,kiwi,0,1,1,0,0,0,1,0,1,1,0,0,1,1,0,0,Bird
42,ladybird,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,Bug
43,lark,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,Bird
44,leopard,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,Mammal
