     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.3675607875E-02    0.8166464522E-02
    0.3000000000E+01    0.1065397695E-01    0.2367402218E-01
    0.5000000000E+01    0.1717580109E-01    0.3817081638E-01
    0.7000000000E+01    0.2328439308E-01    0.5175261958E-01
    0.9000000000E+01    0.2901775699E-01    0.6450347296E-01
    0.1100000000E+02    0.3440937718E-01    0.7649742943E-01
    0.1300000000E+02    0.3948887069E-01    0.8779999475E-01
    0.1500000000E+02    0.4428252982E-01    0.9846932622E-01
    0.1700000000E+02    0.4881377583E-01    0.1085572351E+00
    0.1900000000E+02    0.5310354037E-01    0.1181100291E+00
    0.2100000000E+02    0.5717058762E-01    0.1271692247E+00
    0.2300000000E+02    0.6103178772E-01    0.1357721508E+00
    0.2500000000E+02    0.6470234984E-01    0.1439524640E+00
    0.2700000000E+02    0.6819602162E-01    0.1517405893E+00
    0.2900000000E+02    0.7152526058E-01    0.1591640989E+00
    0.3100000000E+02    0.7470138195E-01    0.1662480391E+00
    0.3300000000E+02    0.7773468665E-01    0.1730152128E+00
    0.3500000000E+02    0.8063457242E-01    0.1794864254E+00
    0.3700000000E+02    0.8340963065E-01    0.1856806990E+00
    0.3900000000E+02    0.8606773104E-01    0.1916154592E+00
    0.4100000000E+02    0.8861609580E-01    0.1973066992E+00
    0.4300000000E+02    0.9106136488E-01    0.2027691242E+00
    0.4500000000E+02    0.9340965348E-01    0.2080162785E+00
    0.4700000000E+02    0.9566660286E-01    0.2130606575E+00
    0.4900000000E+02    0.9783742536E-01    0.2179138079E+00
    0.5100000000E+02    0.9992694445E-01    0.2225864156E+00
    0.5300000000E+02    0.1019396302E+00    0.2270883847E+00
    0.5500000000E+02    0.1038796313E+00    0.2314289076E+00
    0.5700000000E+02    0.1057508030E+00    0.2356165280E+00
    0.5900000000E+02    0.1075567331E+00    0.2396591968E+00
    0.6100000000E+02    0.1093007643E+00    0.2435643229E+00
    0.6300000000E+02    0.1109860151E+00    0.2473388186E+00
    0.6500000000E+02    0.1126153981E+00    0.2509891405E+00
    0.6700000000E+02    0.1141916367E+00    0.2545213264E+00
    0.6900000000E+02    0.1157172803E+00    0.2579410288E+00
    0.7100000000E+02    0.1171947181E+00    0.2612535449E+00
    0.7300000000E+02    0.1186261911E+00    0.2644638447E+00
    0.7500000000E+02    0.1200138037E+00    0.2675765951E+00
    0.7700000000E+02    0.1213595339E+00    0.2705961832E+00
    0.7900000000E+02    0.1226652428E+00    0.2735267368E+00
    0.8100000000E+02    0.1239326826E+00    0.2763721434E+00
    0.8300000000E+02    0.1251635050E+00    0.2791360671E+00
    0.8500000000E+02    0.1263592682E+00    0.2818219649E+00
    0.8700000000E+02    0.1275214430E+00    0.2844331006E+00
    0.8900000000E+02    0.1286514195E+00    0.2869725587E+00
    0.9100000000E+02    0.1297505119E+00    0.2894432559E+00
    0.9300000000E+02    0.1308199640E+00    0.2918479531E+00
    0.9500000000E+02    0.1318609539E+00    0.2941892649E+00
    0.9700000000E+02    0.1328745981E+00    0.2964696698E+00
    0.9900000000E+02    0.1338619554E+00    0.2986915186E+00
    0.1000000000E+02    0.3175435018E-01    0.7059078398E-01
    0.3000000000E+02    0.7313179476E-01    0.1627470405E+00
    0.5000000000E+02    0.9889206056E-01    0.2202720431E+00
    0.7000000000E+02    0.1164618816E+00    0.2596103671E+00
    0.9000000000E+02    0.1292047468E+00    0.2882163263E+00
    0.1100000000E+03    0.1388650187E+00    0.3099593123E+00
    0.1300000000E+03    0.1464373881E+00    0.3270477363E+00
    0.1500000000E+03    0.1525304457E+00    0.3408339861E+00
    0.1700000000E+03    0.1575373970E+00    0.3521925986E+00
    0.1900000000E+03    0.1617235693E+00    0.3617142145E+00
    0.2100000000E+03    0.1652744695E+00    0.3698121501E+00
    0.2300000000E+03    0.1683236875E+00    0.3767843102E+00
    0.2500000000E+03    0.1709698622E+00    0.3828508521E+00
    0.2700000000E+03    0.1732874037E+00    0.3881780012E+00
    0.2900000000E+03    0.1753334977E+00    0.3928936173E+00
    0.3100000000E+03    0.1771528135E+00    0.3970976626E+00
    0.3300000000E+03    0.1787807483E+00    0.4008694191E+00
    0.3500000000E+03    0.1802457123E+00    0.4042725756E+00
    0.3700000000E+03    0.1815707704E+00    0.4073588831E+00
    0.3900000000E+03    0.1827748416E+00    0.4101708275E+00
    0.4100000000E+03    0.1838735895E+00    0.4127436152E+00
    0.4300000000E+03    0.1848800932E+00    0.4151066687E+00
    0.4500000000E+03    0.1858053582E+00    0.4172847685E+00
    0.4700000000E+03    0.1866587118E+00    0.4192989338E+00
    0.4900000000E+03    0.1874481105E+00    0.4211671105E+00
    0.5100000000E+03    0.1881803824E+00    0.4229047138E+00
    0.5300000000E+03    0.1888614208E+00    0.4245250588E+00
    0.5500000000E+03    0.1894963379E+00    0.4260397070E+00
    0.5700000000E+03    0.1900895903E+00    0.4274587457E+00
    0.5900000000E+03    0.1906450808E+00    0.4287910160E+00
    0.6100000000E+03    0.1911662411E+00    0.4300442998E+00
    0.6300000000E+03    0.1916561015E+00    0.4312254733E+00
    0.6500000000E+03    0.1921173471E+00    0.4323406359E+00
    0.6700000000E+03    0.1925523660E+00    0.4333952164E+00
    0.6900000000E+03    0.1929632888E+00    0.4343940631E+00
    0.7100000000E+03    0.1933520227E+00    0.4353415192E+00
    0.7300000000E+03    0.1937202798E+00    0.4362414871E+00
    0.7500000000E+03    0.1940696012E+00    0.4370974830E+00
    0.7700000000E+03    0.1944013782E+00    0.4379126834E+00
    0.7900000000E+03    0.1947168697E+00    0.4386899656E+00
    0.8100000000E+03    0.1950172175E+00    0.4394319415E+00
    0.8300000000E+03    0.1953034600E+00    0.4401409882E+00
    0.8500000000E+03    0.1955765432E+00    0.4408192734E+00
    0.8700000000E+03    0.1958373308E+00    0.4414687780E+00
    0.8900000000E+03    0.1960866131E+00    0.4420913162E+00
    0.9100000000E+03    0.1963251146E+00    0.4426885523E+00
    0.9300000000E+03    0.1965535004E+00    0.4432620160E+00
    0.9500000000E+03    0.1967723826E+00    0.4438131158E+00
    0.9700000000E+03    0.1969823251E+00    0.4443431508E+00
    0.9900000000E+03    0.1971838483E+00    0.4448533210E+00
    0.1000000000E+03    0.1343460925E+00    0.2997811861E+00
    0.3000000000E+03    0.1762691038E+00    0.3950542145E+00
    0.5000000000E+03    0.1878209990E+00    0.4220513569E+00
    0.7000000000E+03    0.1931603181E+00    0.4348739614E+00
    0.9000000000E+03    0.1962071686E+00    0.4423929985E+00
    0.1100000000E+04    0.1981615482E+00    0.4473499411E+00
    0.1300000000E+04    0.1995125042E+00    0.4508724002E+00
    0.1500000000E+04    0.2004961918E+00    0.4535098645E+00
    0.1700000000E+04    0.2012403867E+00    0.4555623458E+00
    0.1900000000E+04    0.2018201369E+00    0.4572076505E+00
    0.2100000000E+04    0.2022823490E+00    0.4585579182E+00
    0.2300000000E+04    0.2026578077E+00    0.4596874136E+00
    0.2500000000E+04    0.2029675292E+00    0.4606472958E+00
    0.2700000000E+04    0.2032263343E+00    0.4614739712E+00
    0.2900000000E+04    0.2034449640E+00    0.4621940646E+00
    0.3100000000E+04    0.2036313848E+00    0.4628275046E+00
    0.3300000000E+04    0.2037916252E+00    0.4633895094E+00
    0.3500000000E+04    0.2039303269E+00    0.4638919045E+00
    0.3700000000E+04    0.2040511189E+00    0.4643440213E+00
    0.3900000000E+04    0.2041568776E+00    0.4647533233E+00
    0.4100000000E+04    0.2042499099E+00    0.4651258532E+00
    0.4300000000E+04    0.2043320868E+00    0.4654665568E+00
    0.4500000000E+04    0.2044049402E+00    0.4657795218E+00
    0.4700000000E+04    0.2044697357E+00    0.4660681572E+00
    0.4900000000E+04    0.2045275275E+00    0.4663353289E+00
    0.5100000000E+04    0.2045792000E+00    0.4665834644E+00
    0.5300000000E+04    0.2046255004E+00    0.4668146341E+00
    0.5500000000E+04    0.2046670638E+00    0.4670306143E+00
    0.5700000000E+04    0.2047044333E+00    0.4672329388E+00
    0.5900000000E+04    0.2047380756E+00    0.4674229385E+00
    0.6100000000E+04    0.2047683940E+00    0.4676017741E+00
    0.6300000000E+04    0.2047957384E+00    0.4677704632E+00
    0.6500000000E+04    0.2048204139E+00    0.4679299010E+00
    0.6700000000E+04    0.2048426875E+00    0.4680808789E+00
    0.6900000000E+04    0.2048627937E+00    0.4682240991E+00
    0.7100000000E+04    0.2048809392E+00    0.4683601867E+00
    0.7300000000E+04    0.2048973072E+00    0.4684897002E+00
    0.7500000000E+04    0.2049120598E+00    0.4686131402E+00
    0.7700000000E+04    0.2049253416E+00    0.4687309569E+00
    0.7900000000E+04    0.2049372817E+00    0.4688435561E+00
    0.8100000000E+04    0.2049479954E+00    0.4689513048E+00
    0.8300000000E+04    0.2049575863E+00    0.4690545355E+00
    0.8500000000E+04    0.2049661477E+00    0.4691535505E+00
    0.8700000000E+04    0.2049737636E+00    0.4692486251E+00
    0.8900000000E+04    0.2049805098E+00    0.4693400107E+00
    0.9100000000E+04    0.2049864551E+00    0.4694279370E+00
    0.9300000000E+04    0.2049916618E+00    0.4695126150E+00
    0.9500000000E+04    0.2049961866E+00    0.4695942381E+00
    0.9700000000E+04    0.2050000810E+00    0.4696729845E+00
    0.9900000000E+04    0.2050033922E+00    0.4697490185E+00
    0.1000000000E+04    0.1972816045E+00    0.4451013070E+00
    0.3000000000E+04    0.2035417859E+00    0.4625205727E+00
    0.5000000000E+04    0.2045540791E+00    0.4664616392E+00
    0.7000000000E+04    0.2048720996E+00    0.4682929981E+00
    0.9000000000E+04    0.2049835785E+00    0.4693843926E+00
    0.1100000000E+05    0.2050129281E+00    0.4701249594E+00
    0.1300000000E+05    0.2050044669E+00    0.4706692924E+00
    0.1500000000E+05    0.2049771908E+00    0.4710916329E+00
    0.1700000000E+05    0.2049402538E+00    0.4714323399E+00
    0.1900000000E+05    0.2048984297E+00    0.4717153706E+00
    0.2100000000E+05    0.2048543474E+00    0.4719559143E+00
    0.2300000000E+05    0.2048095074E+00    0.4721641073E+00
    0.2500000000E+05    0.2047647848E+00    0.4723469976E+00
    0.2700000000E+05    0.2047206929E+00    0.4725096527E+00
    0.2900000000E+05    0.2046775291E+00    0.4726558204E+00
    0.3100000000E+05    0.2046354587E+00    0.4727883384E+00
    0.3300000000E+05    0.2045945655E+00    0.4729094001E+00
    0.3500000000E+05    0.2045548815E+00    0.4730207309E+00
    0.3700000000E+05    0.2045164068E+00    0.4731237091E+00
    0.3900000000E+05    0.2044791212E+00    0.4732194509E+00
    0.4100000000E+05    0.2044429923E+00    0.4733088715E+00
    0.4300000000E+05    0.2044079805E+00    0.4733927291E+00
    0.4500000000E+05    0.2043740426E+00    0.4734716584E+00
    0.4700000000E+05    0.2043411334E+00    0.4735461950E+00
    0.4900000000E+05    0.2043092080E+00    0.4736167950E+00
    0.5100000000E+05    0.2042782218E+00    0.4736838492E+00
    0.5300000000E+05    0.2042481318E+00    0.4737476950E+00
    0.5500000000E+05    0.2042188966E+00    0.4738086254E+00
    0.5700000000E+05    0.2041904765E+00    0.4738668962E+00
    0.5900000000E+05    0.2041628340E+00    0.4739227322E+00
    0.6100000000E+05    0.2041359334E+00    0.4739763315E+00
    0.6300000000E+05    0.2041097409E+00    0.4740278698E+00
    0.6500000000E+05    0.2040842248E+00    0.4740775035E+00
    0.6700000000E+05    0.2040593549E+00    0.4741253723E+00
    0.6900000000E+05    0.2040351030E+00    0.4741716015E+00
    0.7100000000E+05    0.2040114423E+00    0.4742163040E+00
    0.7300000000E+05    0.2039883476E+00    0.4742595814E+00
    0.7500000000E+05    0.2039657951E+00    0.4743015262E+00
    0.7700000000E+05    0.2039437626E+00    0.4743422220E+00
    0.7900000000E+05    0.2039222288E+00    0.4743817453E+00
    0.8100000000E+05    0.2039011737E+00    0.4744201657E+00
    0.8300000000E+05    0.2038805786E+00    0.4744575470E+00
    0.8500000000E+05    0.2038604256E+00    0.4744939479E+00
    0.8700000000E+05    0.2038406978E+00    0.4745294221E+00
    0.8900000000E+05    0.2038213793E+00    0.4745640193E+00
    0.9100000000E+05    0.2038024549E+00    0.4745977853E+00
    0.9300000000E+05    0.2037839104E+00    0.4746307627E+00
    0.9500000000E+05    0.2037657322E+00    0.4746629905E+00
    0.9700000000E+05    0.2037479073E+00    0.4746945055E+00
    0.9900000000E+05    0.2037304236E+00    0.4747253414E+00
    0.1000000000E+05    0.2050048427E+00    0.4697860661E+00
    0.3000000000E+05    0.2046563505E+00    0.4727236358E+00
    0.5000000000E+05    0.2042936002E+00    0.4736507431E+00
    0.7000000000E+05    0.2040232003E+00    0.4741941370E+00
    0.9000000000E+05    0.2038118687E+00    0.4745810035E+00
    0.1100000000E+06    0.2036398675E+00    0.4748841159E+00
    0.1300000000E+06    0.2034956780E+00    0.4751354348E+00
    0.1500000000E+06    0.2033721279E+00    0.4753516894E+00
    0.1700000000E+06    0.2032644792E+00    0.4755426861E+00
    0.1900000000E+06    0.2031694475E+00    0.4757146478E+00
    0.2100000000E+06    0.2030846663E+00    0.4758717633E+00
    0.2300000000E+06    0.2030083754E+00    0.4760169829E+00
    0.2500000000E+06    0.2029392307E+00    0.4761524610E+00
    0.2700000000E+06    0.2028761831E+00    0.4762798179E+00
    0.2900000000E+06    0.2028183982E+00    0.4764003021E+00
    0.3100000000E+06    0.2027652016E+00    0.4765148958E+00
    0.3300000000E+06    0.2027160403E+00    0.4766243852E+00
    0.3500000000E+06    0.2026704556E+00    0.4767294096E+00
    0.3700000000E+06    0.2026280627E+00    0.4768304952E+00
    0.3900000000E+06    0.2025885355E+00    0.4769280808E+00
    0.4100000000E+06    0.2025515953E+00    0.4770225358E+00
    0.4300000000E+06    0.2025170024E+00    0.4771141740E+00
    0.4500000000E+06    0.2024845486E+00    0.4772032646E+00
    0.4700000000E+06    0.2024540523E+00    0.4772900396E+00
    0.4900000000E+06    0.2024253541E+00    0.4773747010E+00
    0.5100000000E+06    0.2023983131E+00    0.4774574254E+00
    0.5300000000E+06    0.2023728044E+00    0.4775383682E+00
    0.5500000000E+06    0.2023487169E+00    0.4776176666E+00
    0.5700000000E+06    0.2023259507E+00    0.4776954428E+00
    0.5900000000E+06    0.2023044164E+00    0.4777718057E+00
    0.6100000000E+06    0.2022840333E+00    0.4778468529E+00
    0.6300000000E+06    0.2022647282E+00    0.4779206723E+00
    0.6500000000E+06    0.2022464348E+00    0.4779933432E+00
    0.6700000000E+06    0.2022290928E+00    0.4780649374E+00
    0.6900000000E+06    0.2022126469E+00    0.4781355202E+00
    0.7100000000E+06    0.2021970465E+00    0.4782051511E+00
    0.7300000000E+06    0.2021822455E+00    0.4782738845E+00
    0.7500000000E+06    0.2021682009E+00    0.4783417703E+00
    0.7700000000E+06    0.2021548736E+00    0.4784088542E+00
    0.7900000000E+06    0.2021422272E+00    0.4784751784E+00
    0.8100000000E+06    0.2021302279E+00    0.4785407818E+00
    0.8300000000E+06    0.2021188445E+00    0.4786057003E+00
    0.8500000000E+06    0.2021080479E+00    0.4786699674E+00
    0.8700000000E+06    0.2020978112E+00    0.4787336139E+00
    0.8900000000E+06    0.2020881091E+00    0.4787966687E+00
    0.9100000000E+06    0.2020789181E+00    0.4788591584E+00
    0.9300000000E+06    0.2020702160E+00    0.4789211083E+00
    0.9500000000E+06    0.2020619823E+00    0.4789825415E+00
    0.9700000000E+06    0.2020541975E+00    0.4790434800E+00
    0.9900000000E+06    0.2020468436E+00    0.4791039443E+00
    0.1000000000E+06    0.2037218059E+00    0.4747405148E+00
    0.3000000000E+06    0.2027912634E+00    0.4764582822E+00
    0.5000000000E+06    0.2024116346E+00    0.4774162952E+00
    0.7000000000E+06    0.2022047440E+00    0.4781704511E+00
    0.9000000000E+06    0.2020834511E+00    0.4788279826E+00
    0.1100000000E+07    0.2020133789E+00    0.4794288265E+00
    0.1300000000E+07    0.2019774004E+00    0.4799922780E+00
    0.1500000000E+07    0.2019657371E+00    0.4805291412E+00
    0.1700000000E+07    0.2019722773E+00    0.4810460783E+00
    0.1900000000E+07    0.2019929450E+00    0.4815474888E+00
    0.2100000000E+07    0.2020248856E+00    0.4820364299E+00
    0.2300000000E+07    0.2020660225E+00    0.4825151131E+00
    0.2500000000E+07    0.2021147972E+00    0.4829851895E+00
    0.2700000000E+07    0.2021700107E+00    0.4834479246E+00
    0.2900000000E+07    0.2022307205E+00    0.4839043100E+00
    0.3100000000E+07    0.2022961725E+00    0.4843551369E+00
    0.3300000000E+07    0.2023657538E+00    0.4848010470E+00
    0.3500000000E+07    0.2024389597E+00    0.4852425676E+00
    0.3700000000E+07    0.2025153693E+00    0.4856801378E+00
    0.3900000000E+07    0.2025946285E+00    0.4861141266E+00
    0.4100000000E+07    0.2026764360E+00    0.4865448477E+00
    0.4300000000E+07    0.2027605337E+00    0.4869725695E+00
    0.4500000000E+07    0.2028466986E+00    0.4873975237E+00
    0.4700000000E+07    0.2029347369E+00    0.4878199119E+00
    0.4900000000E+07    0.2030244790E+00    0.4882399102E+00
    0.5100000000E+07    0.2031157756E+00    0.4886576737E+00
    0.5300000000E+07    0.2032084949E+00    0.4890733394E+00
    0.5500000000E+07    0.2033025194E+00    0.4894870292E+00
    0.5700000000E+07    0.2033977444E+00    0.4898988521E+00
    0.5900000000E+07    0.2034940762E+00    0.4903089056E+00
    0.6100000000E+07    0.2035914303E+00    0.4907172777E+00
    0.6300000000E+07    0.2036897303E+00    0.4911240477E+00
    0.6500000000E+07    0.2037889074E+00    0.4915292877E+00
    0.6700000000E+07    0.2038888986E+00    0.4919330633E+00
    0.6900000000E+07    0.2039896468E+00    0.4923354341E+00
    0.7100000000E+07    0.2040910998E+00    0.4927364550E+00
