     Pressure (Pa)     C7-500 (mol/kg)        3mC6-500 (mol/kg)
    0.1000000000E+01    0.2878052576E-04    0.9327785051E-04
    0.3000000000E+01    0.8631038745E-04    0.2797306080E-03
    0.5000000000E+01    0.1437987006E-03    0.4660462332E-03
    0.7000000000E+01    0.2012455106E-03    0.6522248769E-03
    0.9000000000E+01    0.2586508629E-03    0.8382666898E-03
    0.1100000000E+02    0.3160148027E-03    0.1024171822E-02
    0.1300000000E+02    0.3733373753E-03    0.1209940424E-02
    0.1500000000E+02    0.4306186257E-03    0.1395572646E-02
    0.1700000000E+02    0.4878585991E-03    0.1581068637E-02
    0.1900000000E+02    0.5450573405E-03    0.1766428547E-02
    0.2100000000E+02    0.6022148949E-03    0.1951652525E-02
    0.2300000000E+02    0.6593313071E-03    0.2136740720E-02
    0.2500000000E+02    0.7164066220E-03    0.2321693281E-02
    0.2700000000E+02    0.7734408843E-03    0.2506510356E-02
    0.2900000000E+02    0.8304341388E-03    0.2691192095E-02
    0.3100000000E+02    0.8873864300E-03    0.2875738645E-02
    0.3300000000E+02    0.9442978026E-03    0.3060150154E-02
    0.3500000000E+02    0.1001168301E-02    0.3244426770E-02
    0.3700000000E+02    0.1057997970E-02    0.3428568640E-02
    0.3900000000E+02    0.1114786853E-02    0.3612575912E-02
    0.4100000000E+02    0.1171534995E-02    0.3796448733E-02
    0.4300000000E+02    0.1228242440E-02    0.3980187250E-02
    0.4500000000E+02    0.1284909233E-02    0.4163791609E-02
    0.4700000000E+02    0.1341535417E-02    0.4347261957E-02
    0.4900000000E+02    0.1398121037E-02    0.4530598441E-02
    0.5100000000E+02    0.1454666137E-02    0.4713801205E-02
    0.5300000000E+02    0.1511170759E-02    0.4896870397E-02
    0.5500000000E+02    0.1567634949E-02    0.5079806162E-02
    0.5700000000E+02    0.1624058750E-02    0.5262608644E-02
    0.5900000000E+02    0.1680442206E-02    0.5445277990E-02
    0.6100000000E+02    0.1736785361E-02    0.5627814344E-02
    0.6300000000E+02    0.1793088257E-02    0.5810217852E-02
