pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.1057776786,0.0047782552,0.0183384122,0.0008283942,
0.05,0.5430589286,0.0186923304,0.0941487715,0.0032406427,
0.1,1.0184069643,0.0089899453,0.1765586745,0.0015585644,
0.5,2.7439250000,0.0656689772,0.4757074312,0.0113848667,
1,3.3350992857,0.0336136232,0.5781978422,0.0058275100,
5,3.8577273214,0.0114294286,0.6688045608,0.0019814915,
10,3.9328430357,0.0099455307,0.6818271848,0.0017242318,
50,3.9833848214,0.0039813174,0.6905894881,0.0006902311,
1e2,3.9915614286,0.0012705945,0.6920070460,0.0002202798,
5e2,3.9988357143,0.0005227301,0.6932681708,0.0000906244,
1e3,3.9995257143,0.0003748215,0.6933877944,0.0000649819,
5e3,3.9998673214,0.0002284022,0.6934470180,0.0000395975,
1e4,3.9999283929,0.0001382687,0.6934576058,0.0000239713,
5e4,3.9999710714,0.0000803057,0.6934650048,0.0000139224,
1e5,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
5e5,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
1e6,3.9999528571,0.0000844550,0.6934618471,0.0000146417,
5e6,3.9998233929,0.0002731611,0.6934394022,0.0000473573,
1e7,3.9999858929,0.0000338613,0.6934675744,0.0000058705,
5e7,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
1e8,4.0007591071,0.0021072814,0.6936016246,0.0003653341,
