# pressure,temperature,molkg
1.000000000000000021e-02,5.500000000000000000e+02,1.548000000000000097e-07
5.000000000000000278e-02,5.500000000000000000e+02,6.192000000000000389e-07
1.000000000000000056e-01,5.500000000000000000e+02,1.424100000000000053e-06
5.000000000000000000e-01,5.500000000000000000e+02,7.615799999999999996e-06
1.000000000000000000e+00,5.500000000000000000e+02,1.374559999999999931e-05
5.000000000000000000e+00,5.500000000000000000e+02,6.959470000000000640e-05
1.000000000000000000e+01,5.500000000000000000e+02,1.507059000000000100e-04
5.000000000000000000e+01,5.500000000000000000e+02,7.491334000000000534e-04
1.000000000000000000e+02,5.500000000000000000e+02,1.527274799999999962e-03
5.000000000000000000e+02,5.500000000000000000e+02,7.798349000000000426e-03
1.000000000000000000e+03,5.500000000000000000e+02,1.513603579999999935e-02
5.000000000000000000e+03,5.500000000000000000e+02,7.207741639999999672e-02
1.000000000000000000e+04,5.500000000000000000e+02,1.319233837999999881e-01
5.000000000000000000e+04,5.500000000000000000e+02,3.957619782999999836e-01
1.000000000000000000e+05,5.500000000000000000e+02,5.033184973000000006e-01
5.000000000000000000e+05,5.500000000000000000e+02,6.465284771999999514e-01
1.000000000000000000e+06,5.500000000000000000e+02,6.680763553999999882e-01
5.000000000000000000e+06,5.500000000000000000e+02,6.842936780999999691e-01
1.000000000000000000e+07,5.500000000000000000e+02,6.858316335999999902e-01
5.000000000000000000e+07,5.500000000000000000e+02,6.921263909999999520e-01
1.000000000000000000e+08,5.500000000000000000e+02,6.940006794999999951e-01
