# pressure,temperature,molkg
1.000000000000000021e-02,3.000000000000000000e+02,5.070486230999999844e-01
5.000000000000000278e-02,3.000000000000000000e+02,6.544034174999999731e-01
1.000000000000000056e-01,3.000000000000000000e+02,6.743708031999999797e-01
5.000000000000000000e-01,3.000000000000000000e+02,7.028135380000000154e-01
1.000000000000000000e+00,3.000000000000000000e+02,7.148063279999999908e-01
5.000000000000000000e+00,3.000000000000000000e+02,8.113048793999999564e-01
1.000000000000000000e+01,3.000000000000000000e+02,9.069522582000000277e-01
5.000000000000000000e+01,3.000000000000000000e+02,1.128932166400000048e+00
1.000000000000000000e+02,3.000000000000000000e+02,1.167239852800000088e+00
5.000000000000000000e+02,3.000000000000000000e+02,1.206327166599999945e+00
1.000000000000000000e+03,3.000000000000000000e+02,1.205841514699999895e+00
5.000000000000000000e+03,3.000000000000000000e+02,1.211164212899999981e+00
1.000000000000000000e+04,3.000000000000000000e+02,1.211949230299999902e+00
5.000000000000000000e+04,3.000000000000000000e+02,1.213142305200000104e+00
1.000000000000000000e+05,3.000000000000000000e+02,1.211949230299999902e+00
5.000000000000000000e+05,3.000000000000000000e+02,1.213086363199999962e+00
1.000000000000000000e+06,3.000000000000000000e+02,1.210476494999999986e+00
5.000000000000000000e+06,3.000000000000000000e+02,1.212371160300000028e+00
1.000000000000000000e+07,3.000000000000000000e+02,1.212577535799999939e+00
5.000000000000000000e+07,3.000000000000000000e+02,1.213572535199999969e+00
1.000000000000000000e+08,3.000000000000000000e+02,1.213572535199999969e+00
