pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.4706317857,0.0194327079,0.0815922585,0.0033690001,
0.05,1.8779892857,0.0568651701,0.3255823169,0.0098585727,
0.1,2.6810473214,0.0223287694,0.4648064850,0.0038710830,
0.5,3.7066207143,0.0102242027,0.6426075853,0.0017725445,
1,3.8423883929,0.0088643397,0.6661452890,0.0015367884,
5,3.9699583929,0.0029580588,0.6882617816,0.0005128313,
10,3.9852835714,0.0008962939,0.6909186696,0.0001553882,
50,3.9967135714,0.0022134819,0.6929002602,0.0003837458,
1e2,3.9986107143,0.0005591368,0.6932291631,0.0000969362,
5e2,3.9997250000,0.0001440282,0.6934223441,0.0000249698,
1e3,3.9997791071,0.0004765737,0.6934317245,0.0000826224,
5e3,3.9999641071,0.0000996386,0.6934637975,0.0000172741,
1e4,3.9999466071,0.0001482186,0.6934607635,0.0000256963,
5e4,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
1e5,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
5e5,3.9999433929,0.0000979760,0.6934602063,0.0000169859,
1e6,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
5e6,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
1e7,3.9999864286,0.0000376743,0.6934676673,0.0000065315,
5e7,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
