pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000016071,0.0000022716,0.0000002786,0.0000003938,
0.05,0.0000066071,0.0000036427,0.0000011455,0.0000006315,
0.1,0.0000225000,0.0000036258,0.0000039008,0.0000006286,
0.5,0.0001112500,0.0000104159,0.0000192871,0.0000018058,
1,0.0001998214,0.0000240102,0.0000346425,0.0000041626,
5,0.0010491071,0.0000543367,0.0001818811,0.0000094202,
10,0.0021150000,0.0000316773,0.0003666723,0.0000054918,
50,0.0110210714,0.0002104942,0.0019106957,0.0000364929,
1e2,0.0223055357,0.0001808294,0.0038670551,0.0000313499,
5e2,0.1118094643,0.0006298135,0.0193841279,0.0001091892,
1e3,0.2189346429,0.0019506657,0.0379561528,0.0003381820,
5e3,0.8994260714,0.0112532726,0.1559312540,0.0019509518,
1e4,1.4809167857,0.0120875989,0.2567428483,0.0020955969,
5e4,2.9341444643,0.0166858706,0.5086853052,0.0028927878,
1e5,3.3729462500,0.0082067790,0.5847592760,0.0014227888,
5e5,3.8599898214,0.0030717580,0.6691968048,0.0005325430,
1e6,3.9302310714,0.0058212973,0.6813743550,0.0010092238,
5e6,4.0079823214,0.0070241181,0.6948538953,0.0012177538,
1e7,4.0291398214,0.0046928509,0.6985219183,0.0008135879,
5e7,4.3285898214,0.0140475337,0.7504368176,0.0024353859,
1e8,5.5945007143,0.0993406619,0.9699046307,0.0172224427,
