# pressure,muc,muc_err,molkg,molkg_err,_
1.000000000000000056e-01,2.852321399999999813e-03,9.211019999999999776e-05,4.944997999999999711e-04,1.596889999999999885e-05,nan
5.000000000000000000e-01,1.471285710000000066e-02,4.841580999999999749e-04,2.550731300000000194e-03,8.393730000000000017e-05,nan
1.000000000000000000e+00,2.936767859999999883e-02,9.446695000000000396e-04,5.091401199999999808e-03,1.637750000000000100e-04,nan
5.000000000000000000e+00,1.472992857000000044e-01,3.459523600000000143e-03,2.553690969999999894e-02,5.997689999999999966e-04,nan
1.000000000000000000e+01,2.862196429000000153e-01,1.047942930000000071e-02,4.962118539999999661e-02,1.816792499999999970e-03,nan
5.000000000000000000e+01,1.244581428600000095e+00,1.624603839999999924e-02,2.157699771000000100e-01,2.816535099999999819e-03,nan
1.000000000000000000e+02,2.006509464300000101e+00,2.734986600000000045e-02,3.478635395999999935e-01,4.741577999999999765e-03,nan
5.000000000000000000e+02,3.419739464300000087e+00,3.002241049999999911e-02,5.928716988000000132e-01,5.204910400000000228e-03,nan
1.000000000000000000e+03,3.696033749999999785e+00,9.293651300000000531e-03,6.407721496999999600e-01,1.611217099999999892e-03,nan
5.000000000000000000e+03,3.935097678600000037e+00,6.051574799999999942e-03,6.822180665999999505e-01,1.049146400000000069e-03,nan
1.000000000000000000e+04,3.968315357099999829e+00,6.202210700000000340e-03,6.879769326000000351e-01,1.075261799999999938e-03,nan
5.000000000000000000e+04,3.993637678599999852e+00,2.095825300000000047e-03,6.923670002999999795e-01,3.633479999999999913e-04,nan
1.000000000000000000e+05,3.996736071399999979e+00,1.147279699999999986e-03,6.929041609999999629e-01,1.989009999999999986e-04,nan
5.000000000000000000e+05,3.998772678599999963e+00,4.171992999999999817e-04,6.932572424999999816e-01,7.232880000000000450e-05,nan
1.000000000000000000e+06,3.999268035700000112e+00,3.768296000000000080e-04,6.933431212999999760e-01,6.532999999999999962e-05,nan
5.000000000000000000e+06,3.999361071400000078e+00,3.159168000000000176e-04,6.933592507000000404e-01,5.476969999999999842e-05,nan
1.000000000000000000e+07,3.999472321399999863e+00,2.609312999999999932e-04,6.933785378000000277e-01,4.523700000000000073e-05,nan
5.000000000000000000e+07,3.999911964299999845e+00,1.177715000000000023e-04,6.934547575999999713e-01,2.041779999999999957e-05,nan
1.000000000000000000e+08,3.999986071399999954e+00,3.073420000000000129e-05,6.934676053999999645e-01,5.328300000000000298e-06,nan
