pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000019643,0.0000026464,0.0000003405,0.0000004588,
0.05,0.0000037500,0.0000018214,0.0000006501,0.0000003158,
0.1,0.0000085714,0.0000027822,0.0000014860,0.0000004823,
0.5,0.0000412500,0.0000105565,0.0000071514,0.0000018302,
1,0.0000921429,0.0000197883,0.0000159746,0.0000034306,
5,0.0005155357,0.0000448998,0.0000893771,0.0000077842,
10,0.0009939286,0.0000949503,0.0001723149,0.0000164613,
50,0.0049242857,0.0002933590,0.0008537111,0.0000508589,
1e2,0.0098957143,0.0003676478,0.0017155953,0.0000637382,
5e2,0.0492137500,0.0015347977,0.0085320651,0.0002660841,
1e3,0.0965089286,0.0016491247,0.0167315122,0.0002859046,
5e3,0.4588791071,0.0162971952,0.0795547259,0.0028254041,
1e4,0.8387801786,0.0120102944,0.1454172268,0.0020821948,
5e4,2.4013830357,0.0204690439,0.4163217855,0.0035486671,
1e5,3.0140132143,0.0173758818,0.5225319511,0.0030124133,
5e5,3.7578441071,0.0113058202,0.6514880572,0.0019600618,
1e6,3.8694796429,0.0084371628,0.6708420314,0.0014627299,
5e6,3.9260296429,0.0038009749,0.6806459639,0.0006589655,
1e7,3.9414967857,0.0028274807,0.6833274638,0.0004901933,
5e7,3.9880155357,0.0024340026,0.6913923035,0.0004219770,
1e8,3.9978635714,0.0006603462,0.6930996328,0.0001144826,
