pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.4036691071,0.0131905614,0.0699831060,0.0022868147,
0.05,1.6897228571,0.0423712106,0.2929430359,0.0073457911,
0.1,2.4826176786,0.0469223157,0.4304052329,0.0081348048,
0.5,3.6366078571,0.0092241086,0.6304696310,0.0015991607,
1,3.8180039286,0.0198030678,0.6619178153,0.0034332085,
5,3.9622444643,0.0043105432,0.6869244371,0.0007473081,
10,3.9789226786,0.0033454655,0.6898158975,0.0005799950,
50,3.9957030357,0.0017912052,0.6927250661,0.0003105368,
1e2,3.9981060714,0.0009134147,0.6931416745,0.0001583564,
5e2,3.9995801786,0.0002855045,0.6933972367,0.0000494972,
1e3,3.9999310714,0.0000761628,0.6934580701,0.0000132042,
5e3,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
1e4,3.9999483929,0.0001189467,0.6934610731,0.0000206215,
5e4,3.9999807143,0.0000535372,0.6934666766,0.0000092816,
1e5,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
5e5,3.9999412500,0.0001630900,0.6934598348,0.0000282745,
1e6,3.9999764286,0.0000654343,0.6934659336,0.0000113442,
5e6,3.9999535714,0.0000754602,0.6934619709,0.0000130823,
1e7,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
5e7,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
1e8,4.0000000000,0.0000000000,0.6934700201,0.0000000000,
