pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.05,0.0000001786,0.0000004957,0.0000000310,0.0000000859,
0.1,0.0000008929,0.0000013576,0.0000001548,0.0000002354,
0.5,0.0000025000,0.0000016441,0.0000004334,0.0000002850,
1,0.0000050000,0.0000016810,0.0000008668,0.0000002914,
5,0.0000244643,0.0000030957,0.0000042413,0.0000005367,
10,0.0000475000,0.0000098021,0.0000082350,0.0000016994,
50,0.0002369643,0.0000247187,0.0000410819,0.0000042854,
1e2,0.0004662500,0.0000290046,0.0000808326,0.0000050285,
5e2,0.0024205357,0.0000237219,0.0004196422,0.0000041126,
1e3,0.0049137500,0.0001585813,0.0008518846,0.0000274928,
5e3,0.0238478571,0.0006845932,0.0041344435,0.0001186862,
1e4,0.0485742857,0.0013238009,0.0084212027,0.0002295041,
5e4,0.2330728571,0.0033877156,0.0404072597,0.0005873198,
1e5,0.4429053571,0.0066092636,0.0767853967,0.0011458315,
5e5,1.6264966071,0.0216047748,0.2819816587,0.0037455659,
1e6,2.3337107143,0.0055418483,0.4045896040,0.0009607764,
5e6,3.4002712500,0.0197151366,0.5894965430,0.0034179640,
1e7,3.5996851786,0.0043676812,0.6240684383,0.0007572140,
5e7,3.9116010714,0.0033542973,0.6781445184,0.0005815262,
1e8,3.9808078571,0.0005641222,0.6901427262,0.0000978005,
