pressure,muc,muc_err,molkg,molkg_err,_
10,0.0002230357,0.0000197261,0.0000386671,0.0000034199,
50,0.0011076786,0.0000350838,0.0001920355,0.0000060824,
1e2,0.0021917857,0.0000352132,0.0003799844,0.0000061048,
5e2,0.0111844643,0.0003052334,0.0019390227,0.0000529176,
1e3,0.0225423214,0.0004663474,0.0039081060,0.0000808495,
5e3,0.1098939286,0.0021520419,0.0190520362,0.0003730941,
1e4,0.2197587500,0.0030421694,0.0380990262,0.0005274133,
5e4,0.9277707143,0.0087361223,0.1608452940,0.0015145597,
1e5,1.5349042857,0.0179662877,0.2661025265,0.0031147705,
5e5,3.0546742857,0.0101398824,0.5295812596,0.0017579261,
1e6,3.4571157143,0.0130398639,0.5993515260,0.0022606887,
5e6,3.8255235714,0.0096273563,0.6632214770,0.0016690707,
1e7,3.8772889286,0.0044134797,0.6721959078,0.0007651540,
5e7,3.9761632143,0.0027919051,0.6893374961,0.0004840256,
