pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.05,0.0000001786,0.0000004957,0.0000000310,0.0000000859,
0.1,0.0000010714,0.0000018214,0.0000001858,0.0000003158,
0.5,0.0000042857,0.0000031741,0.0000007430,0.0000005503,
1,0.0000037500,0.0000024031,0.0000006501,0.0000004166,
5,0.0000358929,0.0000065295,0.0000062227,0.0000011320,
10,0.0000650000,0.0000143971,0.0000112689,0.0000024960,
50,0.0003467857,0.0000283317,0.0000601214,0.0000049118,
1e2,0.0007014286,0.0000317953,0.0001216049,0.0000055123,
5e2,0.0035101786,0.0001448355,0.0006085509,0.0000251098,
1e3,0.0069253571,0.0002210388,0.0012006319,0.0000383210,
5e3,0.0349751786,0.0007233584,0.0060635594,0.0001254068,
1e4,0.0700730357,0.0016882344,0.0121483874,0.0002926850,
5e4,0.3327785714,0.0058977602,0.0576929907,0.0010224800,
1e5,0.6213164286,0.0165378359,0.1077160791,0.0028671234,
5e5,1.9695701786,0.0236560321,0.3414594678,0.0041011873,
1e6,2.6097791071,0.0326194918,0.4524508925,0.0056551599,
5e6,3.5393876786,0.0076632401,0.6136148112,0.0013285568,
1e7,3.6964425000,0.0080522057,0.6408430137,0.0013959908,
5e7,3.9338803571,0.0052629804,0.6820070226,0.0009124298,
1e8,3.9876351786,0.0024154879,0.6913263619,0.0004187671,
