pressure,muc,muc_err,molkg,molkg_err,_
C6-630-0.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
C6-630-0.05,0.0000005357,0.0000006071,0.0000000929,0.0000001053,
C6-630-0.1,0.0000007143,0.0000009274,0.0000001238,0.0000001608,
C6-630-0.5,0.0000071429,0.0000023514,0.0000012383,0.0000004077,
C6-630-1,0.0000128571,0.0000012638,0.0000022290,0.0000002191,
C6-630-10,0.0001216071,0.0000146509,0.0000210827,0.0000025400,
C6-630-1e2,0.0012323214,0.0000472517,0.0002136445,0.0000081919,
C6-630-1e3,0.0130294643,0.0003516996,0.0022588857,0.0000609733,
C6-630-1e4,0.1298078571,0.0013164583,0.0225044643,0.0002282311,
C6-630-1e5,1.0121364286,0.0064431260,0.1754715674,0.0011170287,
C6-630-1e6,3.0652571429,0.0134791393,0.5314159831,0.0023368448,
C6-630-1e7,4.1664787500,0.0170571881,0.7223320257,0.0029571621,
C6-630-1e8,6.8904757143,0.0326645372,1.1945845831,0.0056629693,
C6-630-5,0.0000560714,0.0000098334,0.0000097210,0.0000017048,
C6-630-50,0.0006221429,0.0000510333,0.0001078594,0.0000088475,
C6-630-5e2,0.0064466071,0.0001005439,0.0011176322,0.0000174310,
C6-630-5e3,0.0655246429,0.0004894865,0.0113598439,0.0000848611,
C6-630-5e4,0.5772476786,0.0040272867,0.1000759898,0.0006982006,
C6-630-5e5,2.4819662500,0.0146375609,0.4302922963,0.0025376774,
C6-630-5e6,3.9153448214,0.0066530162,0.6787935630,0.0011534168,
C6-630-5e7,5.5358892857,0.0381286715,0.9597433136,0.0066102727,
