pressure,muc,muc_err,molkg,molkg_err,_
0.01,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.05,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,
0.5,0.0000008929,0.0000011085,0.0000001548,0.0000001922,
1,0.0000016071,0.0000021321,0.0000002786,0.0000003696,
10,0.0000300000,0.0000061015,0.0000052010,0.0000010578,
1e2,0.0002758929,0.0000163473,0.0000478309,0.0000028341,
1e3,0.0028296429,0.0000409482,0.0004905681,0.0000070991,
1e4,0.0293967857,0.0001791762,0.0050964474,0.0000310633,
1e5,0.2764067857,0.0020504076,0.0479199548,0.0003554741,
1e6,1.6825846429,0.0140106142,0.2917055015,0.0024289852,
1e7,3.4366255357,0.0083246306,0.5957991949,0.0014432204,
1e8,5.4127432143,0.0369457125,0.9383937864,0.0064051860,
5,0.0000153571,0.0000037096,0.0000026624,0.0000006431,
50,0.0001423214,0.0000080544,0.0000246739,0.0000013964,
5e2,0.0014314286,0.0000333218,0.0002481632,0.0000057769,
5e3,0.0146633929,0.0002264525,0.0025421558,0.0000392595,
5e4,0.1441569643,0.0011309764,0.0249921332,0.0001960745,
5e5,1.0764701786,0.0041141899,0.1866249491,0.0007132668,
5e6,3.0303298214,0.0108058503,0.5253607206,0.0018733833,
5e7,4.2910723214,0.0205212087,0.7439325023,0.0035577108,
