# pressure,muc,muc_err,molkg,molkg_err,_
1.000000000000000000e+00,1.164285699999999951e-03,5.067449999999999738e-05,2.018493000000000056e-04,8.785300000000000403e-06,nan
5.000000000000000000e+00,6.076428600000000242e-03,2.069549000000000063e-04,1.053455299999999902e-03,3.587930000000000053e-05,nan
1.000000000000000000e+01,1.251732139999999979e-02,1.983501000000000036e-04,2.170096800000000103e-03,3.438750000000000237e-05,nan
5.000000000000000000e+01,6.323303569999999540e-02,1.069572900000000061e-03,1.096255359999999922e-02,1.854291999999999898e-04,nan
1.000000000000000000e+02,1.268687500000000024e-01,1.792810900000000023e-03,2.199491870000000113e-02,3.108151000000000186e-04,nan
5.000000000000000000e+02,5.752150000000000318e-01,2.825747899999999854e-03,9.972358940000000671e-02,4.898929000000000001e-04,nan
1.000000000000000000e+03,1.011326964300000020e+00,1.105266859999999920e-02,1.753312325999999977e-01,1.916173599999999953e-03,nan
5.000000000000000000e+03,2.512508392900000054e+00,2.434615489999999993e-02,4.355873114000000101e-01,4.220832100000000350e-03,nan
1.000000000000000000e+04,3.084031249999999780e+00,1.996686149999999868e-02,5.346708032000000443e-01,3.461604999999999977e-03,nan
5.000000000000000000e+04,3.776344285700000025e+00,5.392249299999999669e-03,6.546953869999999620e-01,9.348407999999999891e-04,nan
1.000000000000000000e+05,3.892076250000000126e+00,8.475306800000000432e-03,6.747595489000000057e-01,1.469342800000000056e-03,nan
5.000000000000000000e+05,4.030475178599999708e+00,1.268995340000000048e-02,6.987534257999999943e-01,2.200025600000000189e-03,nan
1.000000000000000000e+06,4.079156249999999595e+00,1.150864669999999979e-02,7.071931417000000275e-01,1.995225399999999913e-03,nan
5.000000000000000000e+06,4.160712678600000380e+00,1.789645159999999832e-02,7.213323762000000139e-01,3.102663199999999930e-03,nan
1.000000000000000000e+07,4.215588928599999896e+00,2.097264009999999859e-02,7.308461348000000468e-01,3.635974299999999819e-03,nan
5.000000000000000000e+07,5.224307500000000104e+00,9.690780870000000047e-02,9.057251567999999864e-01,1.680066499999999935e-02,nan
1.000000000000000000e+08,6.755109285699999688e+00,5.694584450000000214e-02,1.171116443100000071e+00,9.872558999999999502e-03,nan
