c_atoms,branches,c_per_branch,pressure,temperature,molkg
7,1,1,0.01,400,0.0001093144
7,1,1,0.05,400,0.0006067863
7,1,1,0.1,400,0.0012047494
7,1,1,0.5,400,0.0061986623
7,1,1,1,400,0.0123472337
7,1,1,5,400,0.0589124763
7,1,1,10,400,0.113771094
7,1,1,50,400,0.3770833324
7,1,1,100,400,0.4959148071
7,1,1,500,400,0.648479357
7,1,1,1000,400,0.6697140591
7,1,1,5000,400,0.6883474747
7,1,1,10000,400,0.6908902188
7,1,1,50000,400,0.6931048958
7,1,1,100000,400,0.6932548896
7,1,1,500000,400,0.6936472884
7,1,1,1000000,400,0.6938056101
7,1,1,5000000,400,0.6939116738
7,1,1,10000000,400,0.6944620228
7,1,1,50000000,400,0.6962623515
7,1,1,100000000,400,0.7336727372
7,1,1,500000000,400,1.38694004
7,1,1,1000000000,400,1.401000269
7,1,1,5000000000,400,1.429312111
7,1,1,10000000000,400,1.473623793
7,1,1,50000000000,400,1.473623793
7,1,1,100000000000,400,1.473623793
7,1,1,0.01,500,1.21E-06
7,1,1,0.05,500,4.55E-06
7,1,1,0.1,500,8.76E-06
7,1,1,0.5,500,4.97E-05
7,1,1,1,500,0.0001004603
7,1,1,5,500,0.0005246844
7,1,1,10,500,0.0010474184
7,1,1,50,500,0.0053981378
7,1,1,100,500,0.010718477
7,1,1,500,500,0.0513975212
7,1,1,1000,500,0.0969301745
7,1,1,5000,500,0.33048063
7,1,1,10000,500,0.4540618791
7,1,1,50000,500,0.6300048822
7,1,1,100000,500,0.6606349577
7,1,1,500000,500,0.6862163547
7,1,1,1000000,500,0.6895516049
7,1,1,5000000,500,0.6915102243
7,1,1,10000000,500,0.6918266819
7,1,1,50000000,500,0.6936403847
7,1,1,100000000,500,0.6957815972
7,1,1,500000000,500,1.38694004
7,1,1,1000000000,500,1.407091134
7,1,1,5000000000,500,1.430281917
7,1,1,10000000000,500,1.516965669
7,1,1,50000000000,500,1.495294731
7,1,1,100000000000,500,1.516965669
7,1,1,10,600,4.40E-05
7,1,1,50,600,0.0002262756
7,1,1,100,600,0.0004613433
7,1,1,500,600,0.0023435262
7,1,1,1000,600,0.0047508269
7,1,1,5000,600,0.0234254792
7,1,1,10000,600,0.0451559814
7,1,1,50000,600,0.1831199225
7,1,1,100000,600,0.2963050653
7,1,1,500000,600,0.5500972296
7,1,1,1000000,600,0.6093044925
7,1,1,5000000,600,0.6661972993
7,1,1,10000000,600,0.6752777629
7,1,1,50000000,600,0.6897937003
7,1,1,100000000,600,0.6929350575
7,1,1,500000000,600,1.386213661
7,1,1,1000000000,600,1.38694004
7,1,1,5000000000,600,1.408610978
7,1,1,0.01,300,0.1719665098
7,1,1,0.05,300,0.4746344102
7,1,1,0.1,300,0.5757054676
7,1,1,0.5,300,0.6684533059
7,1,1,1,300,0.6803206212
7,1,1,5,300,0.6907213093
7,1,1,10,300,0.6922435069
7,1,1,50,300,0.6931730973
7,1,1,100,300,0.6938149905
7,1,1,500,300,0.695106888
7,1,1,1000,300,0.6956936441
7,1,1,5000,300,0.7216940951
7,1,1,10000,300,0.7452364736
7,1,1,50000,300,0.7718144861
7,1,1,100000,300,0.7547774137
7,1,1,50000,300,0.7718144861
7,1,1,1000000,300,0.7539527106
7,1,1,5000000,300,0.7449814066
7,1,1,10000000,300,0.7263670305
7,1,1,0.01,400,7.39E-05
7,1,1,0.05,400,0.0003838233
7,1,1,0.1,400,0.0007963451
