pressure,muc,muc_err,molkg,molkg_err,_
1000,0.0352100000,0.0007578912,0.0061042699,0.0001313937,
10000,0.3452650000,0.0101324380,0.0598577316,0.0017566355,
100000,2.8772100000,0.0285406654,0.4988147191,0.0049480240,
1e+06,10.8484150000,0.0426839486,1.8807626421,0.0074000097,
1e+07,15.7969750000,0.0708288594,2.7386821428,0.0122794226,
5000,0.1745950000,0.0045662563,0.0302690995,0.0007916405,
50000,1.6180800000,0.0230982384,0.2805224925,0.0040044840,
500000,8.3879700000,0.0461883430,1.4542014312,0.0080075578,
5e+06,14.8302500000,0.0594418110,2.5710834415,0.0103052785,
100,0.0032350000,0.0004247598,0.0005608439,0.0000736395,
200,0.0071000000,0.0008394245,0.0012309093,0.0001455289,
2000,0.0699750000,0.0023374513,0.0121313912,0.0004052381,
20000,0.6724750000,0.0104375385,0.1165853129,0.0018095300,
200000,4.9226550000,0.0298397920,0.8534284155,0.0051732503,
2e+06,12.8810250000,0.0597383332,2.2331511665,0.0103566858,
500,0.0169150000,0.0009031604,0.0029325113,0.0001565787,
